DEV_NAME,COUNT,ADDRESS,,,,,,,,,,
BAYVIEW  ,3,9820 SEAVIEW AVE,,,,,,,,,,
BLVD  ,3,812 ASHFORD ST,,,,,,,,,,
BREUKELEN  ,2,618 EAST 108TH ST ,,,,,,,,,,
CAREY  ,2,2955 WEST 24TH ST ,,,,,,,,,,
CYPRESS  ,2,600 EUCLID AVE,,,,,,,,,,
GLENWOOD  ,2,1660 RALPH AVE,,,,,,,,,,
GRAVESEND   ,2,2793 WEST 33RD ST ,,,,,,,,,,
ODWYER  ,1,2959 WEST 33RD ST ,,,,,,,,,,
MARLBORO  ,3,2740 86TH ST,,,,,,,,,,
PINK ,3,2632 LINDEN BLVD,,,,,,,,,,
SURFSIDE  ,2,2940 WEST 31ST ST ,,,,,,,,,,
PENN  WORTMAN / VANDALIA ,1,17 VANDALIA AVE,,,,,,,,,,
BORINQUEN PLAZA ,1,130 HUMBOLDT ST,,,,,,,,,,
COOPER PARK,1,40 DEBEVOISE AVE,,,,,,,,,,
FARRAGUT ,2,251 NASSAU ST,,,,,,,,,,
GOWANUS,2,211 HOYT ST,,,,,,,,,,
INGERSOLL ,2,120 NAY WALK,,,,,,,,,,
LAFAYETTE GARDENS ,1,387 LAFAYETTE AVE,,,,,,,,,,
MARCY,2,648 PARK AVE,,,,,,,,,,
RED HOOK EAST ,2,62 MILL ST,,,,,,,,,,
RED HOOK WEST,2,55 DWIGHT ST,,,,,,,,,,
ROOSEVELT,2,314 PULASKI ST,,,,,,,,,,
STUYVESANT GARDENS,1,835 GATES AVE,,,,,,,,,,
SUMNER HOUSES,2,20 LEWIS AVE,,,,,,,,,,
TAYLOR-WYTHE,1,632 WYTHE PL,,,,,,,,,,
TOMPKINS,1,105 TOMPKINS PL,,,,,,,,,,
WHITMAN,2,287 MYRTLE AVE,,,,,,,,,,
WILLIAMSBURG,1,176 MAUJER ST,,,,,,,,,,
WYCKOFF,2,185 NEVINS ST,,,,,,,,,,
BERRY ,1,26 DONGAN HILLS AVE,,,,,,,,,,
