,DEV_NAME,COUNT,ADDRESS,STD_NAME
0,BAYVIEW  ,3,9820 SEAVIEW AVE,BAY VIEW
1,BLVD  ,3,812 ASHFORD ST,BLAND
2,BREUKELEN  ,2,618 EAST 108TH ST ,BREUKELEN
3,CAREY  ,2,2955 WEST 24TH ST ,CAREY GARDENS
4,CYPRESS  ,2,600 EUCLID AVE,CYPRESS HILLS
5,GLENWOOD  ,2,1660 RALPH AVE,GLENWOOD
6,GRAVESEND   ,2,2793 WEST 33RD ST ,GRAVESEND
7,ODWYER  ,1,2959 WEST 33RD ST ,O'DWYER GARDENS
8,MARLBORO  ,3,2740 86TH ST,MARLBORO
9,PINK ,3,2632 LINDEN BLVD,PINK
10,SURFSIDE  ,2,2940 WEST 31ST ST ,SURFSIDE GARDENS
11,PENN  WORTMAN / VANDALIA ,1,17 VANDALIA AVE,VANDALIA AVENUE
12,BORINQUEN PLAZA ,1,130 HUMBOLDT ST,BORINQUEN PLAZA I
13,COOPER PARK,1,40 DEBEVOISE AVE,COOPER PARK
14,FARRAGUT ,2,251 NASSAU ST,FARRAGUT
15,GOWANUS,2,211 HOYT ST,GOWANUS
16,INGERSOLL ,2,120 NAY WALK,INGERSOLL
17,LAFAYETTE GARDENS ,1,387 LAFAYETTE AVE,LAFAYETTE
18,MARCY,2,648 PARK AVE,MARCY
19,RED HOOK EAST ,2,62 MILL ST,RED HOOK EAST
20,RED HOOK WEST,2,55 DWIGHT ST,RED HOOK WEST
21,ROOSEVELT,2,314 PULASKI ST,ROOSEVELT I
22,STUYVESANT GARDENS,1,835 GATES AVE,STUYVESANT GARDENS I
23,SUMNER HOUSES,2,20 LEWIS AVE,SUMNER
24,TAYLOR-WYTHE,1,632 WYTHE PL,TAYLOR STREET-WYTHE AVENUE
25,TOMPKINS,1,105 TOMPKINS PL,TOMPKINS
26,WHITMAN,2,287 MYRTLE AVE,WHITMAN
27,WILLIAMSBURG,1,176 MAUJER ST,WILLIAMSBURG
28,WYCKOFF,2,185 NEVINS ST,WYCKOFF GARDENS
29,BERRY ,1,26 DONGAN HILLS AVE,BERRY
30,MARINERS ,1,200 LOCKMAN AVE,MARINER'S HARBOR
31,RICHMOND ,1,121 JERSEY ST,RICHMOND TERRACE
32,SOUTH BEACH ,2,84 LAMPORT BLVD,SOUTH BEACH
33,STAPLETON ,1,210 BROAD ST ,STAPLETON
34,TODT HILL            ,1,815 MANOR RD,TODT HILL
35,WEST BRIGHTON I,2,210 BROADWAY ,WEST BRIGHTON I
36,AUDUBON ,1,1909 AMSTERDAM AVE,AUDUBON
37,DREW HAMILTON ,2,210 WEST 142ND ST ,DREW-HAMILTON
38,DYCKMAN ,1,215 NAGLE AVE,DYCKMAN
39,EAST RIVER ,1,418 EAST 105TH ST ,EAST RIVER
40,FORT WASINGTON ,1,99 FT WASHINGTON AVE,FORT INDEPENDENCE STREET-HEATH AVENUE
41,GRANT,3,1320 AMSTERDAM AVE,GRANT
42,HARLEM RIVER ,2,211-D-1 WEST 151ST ST ,HARLEM RIVER
43,JEFFERSON,1,300 EAST 115TH ST ,JEFFERSON
44,JOHNSON,2,1844 LEXNGTON AVE,JOHNSON
45,KING TOWERS,2,90 LENOX AVE,KING TOWERS
46,LEHMAN VILLAGE,1,1605 MADISON AVE,LEHMAN VILLAGE
47,LINCOLN,1,2142 MADISON AVE,LINCOLN
48,MANHATTANVILLE,2,549 WEST 126TH ST ,MANHATTANVILLE
49,METRO / WILSON,1,305 EAST 101TH ST ,WILSON
50,POLO GROUNDS,4,2975 EIGHTH AVE,POLO GROUNDS TOWERS
51,RANGEL,2,159-16 HARLEM RIVER DR,RANGEL
52,ROBINSON J ,1,2120 LEXINGTON AVE,ROBINSON
53,ST. NICHOLAS,2,215 WEST 127TH ST ,131 SAINT NICHOLAS AVENUE
54,TAFT,2,1740 MADISON AVE,TAFT
55,WAGNER,4,2396 FIRST  AVE,WAGNER
56,CLINTON,2,1744 LEXINGTON AVE,CLINTON
57,AMSTERDAM,2,205 WEST 61ST ST ,AMSTERDAM
58,AMSTERDAM / HARBORVIEW ,1,520 WEST 56TH ST ,AMSTERDAM
59,BARUCH,1,100 COLUMIBA ST,BARUCH
60,CARVER,2,1475 MADISON AVE,CARVER
61,CHELSEA,1,430 WEST 26TH ST ,CHELSEA
62,DOUGLASS,2,880 COLUMBUS AVE,DOUGLASS I
63,FULTON,1,421 WEST 17TH ST ,FULTON
64,GOMPERS,1,50 PITT ST ,GOMPERS
65,HOLMES / ISSACS,1,403 EAST 93RD ST ,ISAACS
66,LAGUARDIA,1,250 MADISON ST,LA GUARDIA
67,LOWER EASTE SIDE,1,640 EAST 5TH ST ,LOWER EAST SIDE II
68,RIIS,3,454 EAST 10TH ST ,RIIS
69,RUTERS,1,61 PIKE ST ,RUTGERS
70,SEWARD PARK,1,65 NORFOLK ST ,SEWARD PARK EXTENSION
71,VLADECK,2,356 MADISON AVE,VLADECK
72,WALD,2,54 AVENUE D,WALD
73,WISE TOWERS,2,124 WEST 91ST ST ,WISE TOWERS
74,SMITH,0 (1 Bulk Crusher),21 ST JAMES PL,SMITH
75,ADAMS,1,731 TINTON AVE ,ADAMS
76,CLAREMONT ,2,1100  / 1020,CLAREMONT PARKWAY-FRANKLIN AVENUE
77,FOREST               5 BOXES,5,1010 TRINITY AVE,FOREST
78,MCKINLEY,0,725 EAST 161ST ST ,MCKINLEY
79,JACKSON HOUSE  ,1,799 COURTLANDT AVE,JACKSON
80,MORRISENIA ,2,162ND & COURTLANDT AVE,MORRISANIA
81,MARBLE HILL ,2,5220 BROADWAY ,MARBLE HILL
82,MELROSE ,2,345 EAST 153RD ST,MELROSE
83,MILLBROOK ,3,160 ST ANN'S ST,MILL BROOK
84,MITCHELL ,2,225 ALEXANDER,MITCHEL
85,MORRIS,4,3663 3RD AVE,MORRIS I
86,MOTTHAVEN,2,373 EAST 141ST ST ,MOTT HAVEN
87,PATTERSON ,3,301 EAST 143DR ST ,PATTERSON
