DEVELOPMENT,BOROUGH,WORK TYPE,PROGRAM,AM_DISTRICT,RAD/PACT,NUM_AUGERS,DSGN_CYEAR,DSGN_FYEAR,CONS_CYEAR,CONS_FYEAR,STATUS,DSGN_EST,CONS_EST,TOT_EST,FUNDING,IMPLEM_METHOD
BARUCH,MANHATTAN,New Waste Yard v5,FEDERAL,3,,5,2019,2020,2020,2021,IN PROGRESS, $-   , $-   , $-   ,NRR City Expense,CPD PROJECT MANAGEMENT
BUSHWICK,BROOKLYN,New Waste Yard v3,MIXED FINANCE/LLC1,1,,3,2019,2020,2020,2021,IN PROGRESS,"$4,008.00 ","$36,072.00 ","$40,080.00 ",NRR City Expense,CPD PROJECT MANAGEMENT
BUTLER,BRONX,New Waste Yard v2,FEDERAL,3,,1,2019,2020,2020,2021,IN PROGRESS, $-   , $-   , $-   ,NRR City Expense,CPD PROJECT MANAGEMENT
GOMPERS,MANHATTAN,New Waste Yard v2,FEDERAL,3,,1,2023,0,2024,,COMPLETED,"$155,298.08 ","$1,397,682.71 ","$1,552,980.79 ",NRR City Expense,CPD PROJECT MANAGEMENT
SMITH,MANHATTAN,New Waste Yard v2,FEDERAL,3,,1,2023,0,2024,1,IN PROGRESS,"$155,298.08 ","$1,397,682.71 ","$1,552,980.79 ",NRR City Expense,CPD PROJECT MANAGEMENT
WALD,MANHATTAN,New Waste Yard v4,FEDERAL,3,,4,2019,2020,2020,2021,IN PROGRESS, $-   , $-   , $-   ,NRR City Expense,CPD PROJECT MANAGEMENT
MARCY,BROOKLYN,New Waste Yard v2,FEDERAL,3,2026+,1,,,,,,"$140,994.31 ","$1,268,948.78 ","$1,409,943.09 ",NRR City Expense,0
RIIS,MANHATTAN,New Waste Yard v2,FEDERAL,3,,1,,,,,,"$145,762.23 ","$1,311,860.09 ","$1,457,622.32 ",NRR City Expense,0
1010 EAST 178TH STREET,BRONX,New Waste Yard v1,FEDERAL,6,,2,,,,,,"$231,365.86 ","$2,082,292.71 ","$2,313,658.57 ",,0
104-14 TAPSCOTT STREET,BROOKLYN,New Waste Yard v1,FEDERAL,16,2020-2021,2,,,,,, $-   , $-   , $-   ,,0
1162-1176 WASHINGTON AVENUE,BRONX,New Waste Yard v1,FEDERAL,3,2022-2025,2,,,,,, $-   , $-   , $-   ,,0
