Consolidation,Borough,Acres,DU,PM,PM_FORMULA,APM,APM_FORMULA,SUPER,SUPER_FORMULA,ASUPER,ASUPER_FORMULA,SOG,SOG_FORMULA,HA,HA_FORMULA,SOC,SOC_FORMULA,CTG,CTJ,CJG_TOTAL,CJG_FORMULA,CTX,CTX_FORMULA,MW,MW_FORMULA,SEC,SEC_FORMULA,TOT,TOT_FORMULA
ADAMS,Bronx Property Management,8.79,924,1,1,0,0,1,1,1,1,1,1,2,2,1,1,1,10,11,14,6,5,4,4,2,2,30,32
ALBANY CONSOLIDATED,Brooklyn Property Management,13.85,"1,223",1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,17,18,18,5,5,5,5,2,2,39,39
AMSTERDAM CONSOLIDATED,Mixed Finance Conventional,13.09,"1,636",1,1,1,1,1,1,2,2,1,1,4,4,2,1,1,23,24,24,5,5,7,7,2,2,50,49
ARMSTRONG CONSOLIDATED,Brooklyn Property Management,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
ASTORIA,Queens\Staten Island Property Management,26.43,"1,104",1,1,1,1,1,1,1,1,1,1,3,3,1,1,3,14,17,16,5,5,5,5,2,2,38,37
BAISLEY PARK CONSOLIDATED,Queens\Staten Island Property Management,10.15,894,1,1,1,0,1,1,1,1,1,1,3,2,1,1,2,14,16,13,5,5,5,4,2,2,37,31
BARUCH CONSOLIDATED,Manhattan Property Management,26.37,"2,390",1,1,2,2,1,1,2,2,1,1,6,6,2,2,2,34,36,34,5,5,10,11,3,3,69,68
BAY VIEW,Tax Credit LLC,33.5,"1,609",1,1,1,1,1,1,2,2,1,1,4,4,2,2,3,23,26,23,5,5,7,7,2,2,52,49
BEACH 41ST STREET CONSOLIDATION,Queens\Staten Island Property Management,20.44,"1,129",1,1,1,1,1,1,1,1,1,1,3,3,1,1,2,15,17,17,5,5,5,5,2,2,38,38
BERRY,Queens\Staten Island Property Management,11.74,506,1,1,0,0,1,1,1,1,1,1,2,2,1,1,1,7,8,8,5,5,2,2,2,2,24,24
BORINQUEN PLAZA CONSOLIDATED,Brooklyn Property Management,9.98,934,1,1,0,0,1,1,1,1,1,1,2,2,1,1,1,15,16,14,5,5,4,4,2,2,34,32
BOSTON SECOR CONSOLIDATED,Bronx Property Management,14.07,538,1,1,0,0,1,1,1,1,1,1,2,2,1,1,1,7,8,8,5,5,2,2,2,2,24,24
BOULEVARD CONSOLIDATED,Mixed Finance Conventional,27.73,"1,496",1,1,1,1,1,1,2,2,1,1,4,4,1,1,2,21,23,22,5,5,7,7,2,2,48,47
BREUKELEN,Brooklyn Property Management,49.17,"1,592",1,1,1,1,1,1,2,2,1,1,4,4,2,2,3,22,25,23,5,5,7,7,2,2,51,49
BREVOORT,Brooklyn Property Management,15.78,894,1,1,0,0,1,1,1,1,1,1,2,2,1,1,1,11,12,13,5,5,4,4,2,2,30,31
BRONX RIVER CONSOLIDATED,Bronx Property Management,15.06,"1,553",1,1,1,1,1,1,2,2,1,1,4,4,2,1,2,21,23,23,5,5,6,7,2,2,48,48
BROWNSVILLE,Next Generation Operations One,16.82,"1,336",1,1,1,1,1,1,2,2,1,1,3,3,1,1,1,19,20,20,5,5,6,6,2,2,43,43
BUSHWICK CONSOLIDATED,Mixed Finance Conventional,16.46,"1,428",1,1,1,1,1,1,2,2,1,1,4,4,1,1,1,20,21,21,5,5,6,6,2,2,45,45
BUTLER,Bronx Property Management,12.81,"1,476",1,1,1,1,1,1,2,2,1,1,4,4,1,1,1,20,21,22,5,5,6,7,2,2,45,47
CAREY GARDENS CONSOLIDATED,Brooklyn Property Management,13.6,"1,254",1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,16,17,18,5,5,5,6,2,2,38,40
CARVER,Manhattan Property Management,13.66,"1,244",1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,15,16,18,6,5,5,5,2,2,38,39
CASTLE HILL,Tax Credit LLC,40.35,"2,022",1,1,2,2,1,1,2,2,1,1,5,5,2,2,3,29,32,29,5,5,9,9,3,3,63,60
CHELSEA CONSOLIDATED,Mixed Finance Conventional,7.44,"1,127",1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,15,16,17,5,5,5,5,2,2,37,38
CLAREMONT CONSOLIDATED,Bronx Property Management,5.4141133,739,1,1,0,0,1,1,1,1,1,1,2,2,1,1,1,11,12,11,5,5,3,3,2,2,29,28
