ASSETNUM,LOCATION,DESCRIPTION,INSTALLDATE,SITEID,STATE,ZZTYPE
74460012,004.GND01,EXTERIOR COMPACTOR,28-Aug-00,BK,OPERATING,COMPACTOR
74460013,004.GND01,EXTERIOR COMPACTOR,28-Aug-00,BK,OPERATING,COMPACTOR
74460003,005.GND01,EXTERIOR COMPACTOR,16-Jan-10,QS,OPERATING,COMPACTOR
74460004,005.GND01,EXTERIOR COMPACTOR,16-Jan-10,QS,OPERATING,COMPACTOR
74460002,005.GND01,EXTERIOR COMPACTOR,16-Jan-10,QS,OPERATING,COMPACTOR
74460043,008.GND01,EXTERIOR COMPACTOR,19-Mar-99,QS,OPERATING,COMPACTOR
74460041,008.GND01,EXTERIOR COMPACTOR,19-Mar-99,QS,OPERATING,COMPACTOR
74460042,008.GND01,EXTERIOR COMPACTOR,19-Mar-99,QS,OPERATING,COMPACTOR
74460044,008.GND01,EXTERIOR COMPACTOR,19-Mar-99,QS,OPERATING,COMPACTOR
74459862,009.GND01,EXTERIOR COMPACTOR,26-Jan-99,MN,OPERATING,COMPACTOR
74459863,009.GND01,EXTERIOR COMPACTOR,26-Jan-99,MN,OPERATING,COMPACTOR
74459908,014.GND01,EXTERIOR COMPACTOR,27-Aug-08,BK,OPERATING,COMPACTOR
74459909,014.GND01,EXTERIOR COMPACTOR,27-Aug-08,BK,OPERATING,COMPACTOR
74459907,014.GND01,EXTERIOR COMPACTOR,27-Aug-08,BK,OPERATING,COMPACTOR
74459821,016.GND01,EXTERIOR COMPACTOR,23-May-05,BK,OPERATING,COMPACTOR
74459823,016.GND01,EXTERIOR COMPACTOR,23-May-05,BK,OPERATING,COMPACTOR
74459822,016.GND01,EXTERIOR COMPACTOR,23-May-05,BK,OPERATING,COMPACTOR
74459916,017.GND01,EXTERIOR COMPACTOR,21-Aug-00,MN,OPERATING,COMPACTOR
74459917,017.GND01,EXTERIOR COMPACTOR,21-Aug-00,MN,OPERATING,COMPACTOR
74460020,018.GND01,EXTERIOR COMPACTOR,26-Aug-02,MN,OPERATING,COMPACTOR
74460021,018.GND01,EXTERIOR COMPACTOR,26-Aug-02,MN,OPERATING,COMPACTOR
74460022,018.GND01,EXTERIOR COMPACTOR,26-Aug-02,MN,OPERATING,COMPACTOR
74459932,020.GND01,EXTERIOR COMPACTOR,11-Jun-03,MN,OPERATING,COMPACTOR
74459933,020.GND01,EXTERIOR COMPACTOR,11-Jun-03,MN,OPERATING,COMPACTOR
74459944,021.GND01,EXTERIOR COMPACTOR,14-Feb-03,BK,OPERATING,COMPACTOR
74459945,021.GND01,EXTERIOR COMPACTOR,14-Feb-03,BK,OPERATING,COMPACTOR
74459943,021.GND01,EXTERIOR COMPACTOR,14-Feb-03,BK,OPERATING,COMPACTOR
74459783,022.GND01,EXTERIOR COMPACTOR,16-Apr-07,MN,OPERATING,COMPACTOR
74459782,022.GND01,EXTERIOR COMPACTOR,16-Apr-07,MN,OPERATING,COMPACTOR
74459781,022.GND01,EXTERIOR COMPACTOR,16-Apr-07,MN,OPERATING,COMPACTOR
74460088,023.GND01,EXTERIOR COMPACTOR,24-Aug-02,MN,OPERATING,COMPACTOR
74460089,023.GND01,EXTERIOR COMPACTOR,24-Aug-02,MN,OPERATING,COMPACTOR
74460086,023.GND01,EXTERIOR COMPACTOR,24-Aug-02,MN,OPERATING,COMPACTOR
74460087,023.GND01,EXTERIOR COMPACTOR,24-Aug-02,MN,OPERATING,COMPACTOR
74459983,024.GND01,EXTERIOR COMPACTOR,1-Nov-10,BX,OPERATING,COMPACTOR
74459984,024.GND01,EXTERIOR COMPACTOR,1-Nov-10,BX,OPERATING,COMPACTOR
74459985,024.GND01,EXTERIOR COMPACTOR,1-Nov-10,BX,OPERATING,COMPACTOR
74459986,024.GND01,EXTERIOR COMPACTOR,1-Nov-10,BX,OPERATING,COMPACTOR
74459885,025.GND01,EXTERIOR COMPACTOR,24-Jun-02,BK,OPERATING,COMPACTOR
74459884,025.GND01,EXTERIOR COMPACTOR,24-Jun-02,BK,OPERATING,COMPACTOR
74459886,025.GND01,EXTERIOR COMPACTOR,24-Jun-02,BK,OPERATING,COMPACTOR
74459785,026.GND01,EXTERIOR COMPACTOR,25-Mar-03,QS,OPERATING,COMPACTOR
74459784,026.GND01,EXTERIOR COMPACTOR,25-Mar-03,QS,OPERATING,COMPACTOR
74459786,026.GND01,EXTERIOR COMPACTOR,25-Mar-03,QS,OPERATING,COMPACTOR
74460032,027.GND01,EXTERIOR COMPACTOR,24-Dec-03,MN,OPERATING,COMPACTOR
74460033,027.GND01,EXTERIOR COMPACTOR,24-Dec-03,MN,OPERATING,COMPACTOR
74460034,027.GND01,EXTERIOR COMPACTOR,24-Dec-03,MN,OPERATING,COMPACTOR
74460035,027.GND01,EXTERIOR COMPACTOR,24-Dec-03,MN,OPERATING,COMPACTOR
74459954,028.GND01,EXTERIOR COMPACTOR,20-Nov-00,BX,OPERATING,COMPACTOR
74459955,028.GND01,EXTERIOR COMPACTOR,20-Nov-00,BX,OPERATING,COMPACTOR
74459871,029.GND01,EXTERIOR COMPACTOR,8-Sep-04,BK,OPERATING,COMPACTOR
74459872,029.GND01,EXTERIOR COMPACTOR,8-Sep-04,BK,OPERATING,COMPACTOR
74459873,029.GND01,EXTERIOR COMPACTOR,8-Sep-04,BK,OPERATING,COMPACTOR
74459923,030.GND01,EXTERIOR COMPACTOR,7-Nov-97,MN,OPERATING,COMPACTOR
74459922,030.GND01,EXTERIOR COMPACTOR,7-Nov-97,MN,OPERATING,COMPACTOR
74459780,031.GND01,EXTERIOR COMPACTOR,28-Aug-06,BK,OPERATING,COMPACTOR
74459778,031.GND01,EXTERIOR COMPACTOR,28-Aug-06,BK,OPERATING,COMPACTOR
74459779,031.GND01,EXTERIOR COMPACTOR,28-Aug-06,BK,OPERATING,COMPACTOR
74459819,032.GND01,EXTERIOR COMPACTOR,17-Jul-99,BX,OPERATING,COMPACTOR
74459820,032.GND01,EXTERIOR COMPACTOR,17-Jul-99,BX,OPERATING,COMPACTOR
74459818,032.GND01,EXTERIOR COMPACTOR,17-Jul-99,BX,OPERATING,COMPACTOR
74460107,033.GND01,EXTERIOR COMPACTOR,21-Feb-08,QS,OPERATING,COMPACTOR
74460105,033.GND01,EXTERIOR COMPACTOR,21-Feb-08,QS,OPERATING,COMPACTOR
