Department,RC_Name,CST_NAME,CURRENT,PLANNED,VAR
Bronx Property Management,Adams,AST RES BLDG SP,1 ,1 ,0 
Bronx Property Management,Adams,CARETAKER HA,17 ,17 ,0 
Bronx Property Management,Adams,CLERICAL ASO,1 ,1 ,0 
Bronx Property Management,Adams,HSG AST,2 ,2 ,0 
Bronx Property Management,Adams,HSG MGR,1 ,,1 
Bronx Property Management,Adams,MAINT WORKER,4 ,4 ,0 
Bronx Property Management,Adams,RES BLDG SUPT,1 ,1 ,0 
Bronx Property Management,Adams,SECY,1 ,1 ,0 
Bronx Property Management,Adams,SUPV HSG CRTKR,1 ,1 ,0 
Bronx Property Management,Adams,SUPV HSG GDKPR,1 ,1 ,0 
Bronx Property Management,Adams Total,,30 ,29 ,1 
Bronx Property Management,Boston Secor Consolidation,AST RES BLDG SP,1 ,1 ,0 
Bronx Property Management,Boston Secor Consolidation,CARETAKER HA,13 ,15 ,(2)
Bronx Property Management,Boston Secor Consolidation,HSG AST,2 ,1 ,1 
Bronx Property Management,Boston Secor Consolidation,HSG MGR,1 ,1 ,0 
Bronx Property Management,Boston Secor Consolidation,MAINT WORKER,2 ,2 ,0 
Bronx Property Management,Boston Secor Consolidation,RES BLDG SUPT,1 ,1 ,0 
Bronx Property Management,Boston Secor Consolidation,SECY,2 ,2 ,0 
Bronx Property Management,Boston Secor Consolidation,SUPV HSG CRTKR,1 ,1 ,0 
Bronx Property Management,Boston Secor Consolidation,SUPV HSG GDKPR,1 ,1 ,0 
Bronx Property Management,Boston Secor Consolidation Total,,24 ,25 ,(1)
Bronx Property Management,Bronx River Consolidated,AST HSG MGR,1 ,1 ,0 
Bronx Property Management,Bronx River Consolidated,AST RES BLDG SP,2 ,2 ,0 
Bronx Property Management,Bronx River Consolidated,CARETAKER HA,26 ,24 ,2 
Bronx Property Management,Bronx River Consolidated,CHIEF CARETAKER,2 ,2 ,0 
Bronx Property Management,Bronx River Consolidated,HSG AST,4 ,4 ,0 
Bronx Property Management,Bronx River Consolidated,HSG MGR,1 ,1 ,0 
