DEV_TDS,DISTRICT,SECTION,FREQUENCY,SCHEDULECO,FREQ_REFUS,FREQ_RECYC,FREQ_BULK
214,BX09,BX091,A,2091A,"Mon, Wed, Fri",Mon,"Mon, Wed, Fri"
359,MN07,MN073,A,1073A,"Mon, Wed, Fri",Wed,"Mon, Wed, Fri"
203,MN11,MN112,B,1112B,"Tue, Thu, Sat",Sat,"Tue, Thu, Sat"
185,MN06,MN062,A,1062A,"Mon, Wed, Fri",Fri,"Mon, Wed, Fri"
265,MN03,MN031,A,1031A,"Mon, Wed, Fri",Fri,"Mon, Wed, Fri"
196,BKS06,BKS063,C,3063C,"Mon, Thu",Thu,Thu
150,MN07,MN075,B,1075B,"Tue, Thu, Sat",Tue,"Tue, Thu, Sat"
238,BKS13,BKS132,B,3132B,"Tue, Thu, Sat",Tue,"Tue, Thu, Sat"
100,MN03,MN032,A,1032A,"Mon, Wed, Fri",Wed,"Mon, Wed, Fri"
345,BKN05,BKN051,D,3051D,"Tue, Fri",Tue,"Tue, Fri"
118,BX01,BX012,B,2012B,"Tue, Thu, Sat",Tue,"Tue, Thu, Sat"
31,BKN08,BKN082,B,3082B,"Tue, Thu, Sat",Thu,"Tue, Thu, Sat"
22,MN07,MN071,B,1071B,"Tue, Thu, Sat",Sat,"Tue, Thu, Sat"
166,BKS13,BKS132,B,3132B,"Tue, Thu, Sat",Tue,"Tue, Thu, Sat"
152,MN03,MN031,B,1031B,"Tue, Thu, Sat",Sat,"Tue, Thu, Sat"
266,MN03,MN031,B,1031B,"Tue, Thu, Sat",Sat,"Tue, Thu, Sat"
34,BX11,BX113,D,2113D,"Tue, Fri",Fri,"Tue, Fri"
63,BX10,BX103,C,2103C,"Mon, Thu",Thu,"Mon, Thu"
193,BX10,BX103,C,2103C,"Mon, Thu",Thu,"Mon, Thu"
330,MN12,MN122,A,1122A,"Mon, Wed, Fri",Wed,"Mon, Wed, Fri"
121,BX01,BX011,A,2011A,"Mon, Wed, Fri",Mon,"Mon, Wed, Fri"
336,BX04,BX042,B,2042B,"Tue, Thu, Sat",Sat,"Tue, Thu, Sat"
210,BKN03,BKN032,A,3032A,"Mon, Wed, Fri",Wed,"Mon, Wed, Fri"
399,MN10,MN104,B,1104B,"Tue, Thu, Sat",Tue,"Tue, Thu, Sat"
523,MN12,MN121,A,1121A,"Mon, Wed, Fri",Wed,"Mon, Wed, Fri"
228,BKN03,BKN033,B,3033B,"Tue, Thu, Sat",Tue,"Tue, Thu, Sat"
125,MN09,MN093,B,1093B,"Tue, Thu, Sat",Sat,"Tue, Thu, Sat"
202,BX07,BX071,A,2071A,"Mon, Wed, Fri",Fri,"Mon, Wed, Fri"
91,QE12,QE125,C,4125C,"Mon, Thu",Mon,"Mon, Thu"
60,MN03,MN033,A,1033A,"Mon, Wed, Fri",Fri,"Mon, Wed, Fri"
198,MN03,MN033,A,1033A,"Mon, Wed, Fri",Fri,"Mon, Wed, Fri"
92,BKS18,BKS181,D,3181D,"Tue, Fri",Fri,"Tue, Fri"
331,MN12,MN122,A,1122A,"Mon, Wed, Fri",Wed,"Mon, Wed, Fri"
141,BX03,BX031,B,2031B,"Tue, Thu, Sat",Tue,"Tue, Thu, Sat"
165,QE14,QE142,E,4142E,"Wed, Sat",Sat,Wed
311,BKN03,BKN031,B,3031B,"Tue, Thu, Sat",Thu,"Tue, Thu, Sat"
52,SI02,SI022,E,5022E,"Wed, Sat",Wed,"Wed, Sat"
357,BKN01,BKN014,A,3014A,"Mon, Wed, Fri",Fri,"Mon, Wed, Fri"
54,QE07,QE071,E,4071E,"Wed, Sat",Sat,"Wed, Sat"
116,SI01,SI013,D,5013D,"Tue, Fri",Tue,"Tue, Fri"
243,BKN01,BKN015,B,3015B,"Tue, Thu, Sat",Sat,"Tue, Thu, Sat"
271,BKN01,BKN015,B,3015B,"Tue, Thu, Sat",Sat,"Tue, Thu, Sat"
189,BX11,BX112,C,2112C,"Mon, Thu",Thu,"Mon, Thu"
138,BX12,BX125,E,2125E,"Wed, Sat",Sat,"Wed, Sat"
264,MN03,MN033,A,1033A,"Mon, Wed, Fri",Fri,"Mon, Wed, Fri"
56,BKS18,BKS181,C,3181C,"Mon, Thu",Thu,"Mon, Thu"
32,BX09,BX092,A,2092A,"Mon, Wed, Fri",Wed,"Mon, Wed, Fri"
157,BX09,BX092,A,2092A,"Mon, Wed, Fri",Wed,"Mon, Wed, Fri"
16,BKN16,BKN162,A,3162A,"Mon, Wed, Fri",Fri,"Mon, Wed, Fri"
235,BX03,BX031,A,2031A,"Mon, Wed, Fri",Wed,"Mon, Wed, Fri"
86,BKN01,BKN015,B,3015B,"Tue, Thu, Sat",Sat,"Tue, Thu, Sat"
175,SI01,SI013,D,5013D,"Tue, Fri",Tue,"Tue, Fri"
286,MN03,MN034,A,1034A,"Mon, Wed, Fri",Wed,"Mon, Wed, Fri"
58,MN11,MN111,A,1111A,"Mon, Wed, Fri",Wed,"Mon, Wed, Fri"
206,SI01,SI012,D,5012D,"Tue, Fri",Fri,"Tue, Fri"
80,BX09,BX094,D,2094D,"Tue, Fri",Fri,"Tue, Fri"
334,BX03,BX031,B,2031B,"Tue, Thu, Sat",Tue,"Tue, Thu, Sat"
307,BX04,BX042,B,2042B,"Tue, Thu, Sat",Sat,"Tue, Thu, Sat"
308,BX04,BX042,B,2042B,"Tue, Thu, Sat",Sat,"Tue, Thu, Sat"
335,BX04,BX042,B,2042B,"Tue, Thu, Sat",Sat,"Tue, Thu, Sat"
11,BX09,BX091,B,2091B,"Tue, Thu, Sat",Tue,"Tue, Thu, Sat"
94,BKS13,BKS132,B,3132B,"Tue, Thu, Sat",Tue,"Tue, Thu, Sat"
239,BKS13,BKS132,B,3132B,"Tue, Thu, Sat",Tue,"Tue, Thu, Sat"
216,BKS13,BKS132,B,3132B,"Tue, Thu, Sat",Tue,"Tue, Thu, Sat"
190,BX03,BX031,A,2031A,"Mon, Wed, Fri",Wed,"Mon, Wed, Fri"
155,MN07,MN074,B,1074B,"Tue, Thu, Sat",Thu,"Tue, Thu, Sat"
148,MN07,MN075,B,1075B,"Tue, Thu, Sat",Tue,"Tue, Thu, Sat"
82,MN07,MN075,A,1075A,"Mon, Wed, Fri",Mon,"Mon, Wed, Fri"
582,MN07,MN075,A,1075A,"Mon, Wed, Fri",Mon,"Mon, Wed, Fri"
111,MN10,MN104,A,1104A,"Mon, Wed, Fri",Wed,"Mon, Wed, Fri"
41,MN12,MN124,A,1124A,"Mon, Wed, Fri",Wed,"Mon, Wed, Fri"
224,BX03,BX031,A,2031A,"Mon, Wed, Fri",Wed,"Mon, Wed, Fri"
304,BX02,BX021,B,2021B,"Tue, Thu, Sat",Thu,"Tue, Thu, Sat"
338,BX03,BX031,A,2031A,"Mon, Wed, Fri",Wed,"Mon, Wed, Fri"
9,MN11,MN111,B,1111B,"Tue, Thu, Sat",Tue,"Tue, Thu, Sat"
57,BX12,BX123,E,2123E,"Wed, Sat",Wed,"Wed, Sat"
205,BKN09,BKN093,B,3093B,"Tue, Thu, Sat",Tue,"Tue, Thu, Sat"
209,QE12,QE126,E,4126E,"Wed, Sat",Sat,"Wed, Sat"
360,BX02,BX021,B,2021B,"Tue, Thu, Sat",Thu,"Tue, Thu, Sat"
212,QE12,QE126,C,4126C,"Mon, Thu",Thu,"Mon, Thu"
213,QE13,QE134,C,4134C,"Mon, Thu",Thu,"Mon, Thu"
283,BKN05,BKN053,D,3053D,"Tue, Fri",Fri,"Tue, Fri"
260,QE12,QE123,D,4123D,"Tue, Fri",Fri,"Tue, Fri"
273,QE12,QE125,E,4125E,"Wed, Sat",Wed,"Wed, Sat"
274,QE12,QE126,E,4126E,"Wed, Sat",Sat,"Wed, Sat"
275,QE12,QE126,E,4126E,"Wed, Sat",Sat,"Wed, Sat"
284,QE12,QE127,E,4127E,"Wed, Sat",Sat,"Wed, Sat"
207,BKN05,BKN051,D,3051D,"Tue, Fri",Tue,"Tue, Fri"
1,MN03,MN033,B,1033B,"Tue, Thu, Sat",Sat,"Tue, Thu, Sat"
59,BX03,BX031,A,2031A,"Mon, Wed, Fri",Wed,"Mon, Wed, Fri"
197,BX08,BX081,A,2081A,"Mon, Wed, Fri",Mon,"Mon, Wed, Fri"
136,MN04,MN041,B,1041B,"Tue, Thu, Sat",Sat,"Tue, Thu, Sat"
225,BX10,BX101,E,2101E,"Wed, Sat",Sat,"Wed, Sat"
171,BKN16,BKN161,B,3161B,"Tue, Thu, Sat",Thu,"Tue, Thu, Sat"
44,BKS18,BKS185,C,3185C,"Mon, Thu",Mon,"Mon, Thu"
87,MN09,MN091,B,1091B,"Tue, Thu, Sat",Sat,"Tue, Thu, Sat"
68,BKS13,BKS132,B,3132B,"Tue, Thu, Sat",Tue,"Tue, Thu, Sat"
526,BX03,BX031,A,2031A,"Mon, Wed, Fri",Wed,"Mon, Wed, Fri"
142,BKS13,BKS132,B,3132B,"Tue, Thu, Sat",Tue,"Tue, Thu, Sat"
75,QE14,QE142,C,4142C,"Mon, Thu",Thu,Mon
262,MN04,MN043,B,1043B,"Tue, Thu, Sat",Thu,"Tue, Thu, Sat"
