DEV_NAME,TONS_PER_CONTAINER
45 ALLEN STREET,7.385
572  STREET,
ADAMS,7.339787234
ALBANY,8.283378378
ALBANY II,
AMSTERDAM,6.701
AMSTERDAM ADDITION,5.32
ASTORIA,6.761964286
ATLANTIC TERMINAL SITE 4B,6.64075
AUDUBON,6.714444444
BAILEY AVENUE-WEST 193RD STREET,7.096764706
BAISLEY PARK,6.804038462
BARUCH,6.196642336
BARUCH HOUSES ADDITION,7.37
BAY VIEW,7.43822327
BEACH 41ST STREET-BEACH CHANNEL DRIVE,7.357873563
BERRY,5.116781609
BERRY STREET-SOUTH 9TH STREET,6.801212121
BETHUNE GARDENS,
BORINQUEN PLAZA I,7.4248
BOSTON SECOR,7.303730159
BREUKELEN,7.233597701
BREVOORT,8.336409091
SOTOMAYOR HOUSES,7.12268018
BRONX RIVER,7.16570122
BROWNSVILLE,7.282723881
BUSHWICK,6.870663265
BUTLER,7.485364146
CAMPOS PLAZA II,6.3125
CAREY GARDENS,6.330154639
CARLETON MANOR,6.925
CARVER,7.444362416
CASSIDY-LAFAYETTE,4.549534884
CASTLE HILL,6.829700065
CHELSEA,8.642396296
CHELSEA ADDITION,7.09375
COLLEGE AVENUE-EAST 165TH STREET,7.553103448
TELLER AVENUE-EAST 166TH STREET,7.553103448
CLAREMONT PARKWAY-FRANKLIN AVENUE,7.695416667
CLINTON,6.66204
CONLON LIHFE TOWER,8.210588235
COOPER PARK,7.48695
CYPRESS HILLS,7.809877049
DAVIDSON,9.425084746
DOUGLASS I,7.182529976
DOUGLASS ADDITION,7.2875
DREW-HAMILTON,6.133263473
DYCKMAN,8.096483051
EAST 152ND STREET-COURTLANDT AVENUE,8.218571429
EAST 180TH STREET-MONTEREY AVENUE,7.248055556
EAST RIVER,5.927237762
EASTCHESTER GARDENS,7.929306931
EDENWALD,7.629328321
ELLIOTT,7.293333333
FARRAGUT,6.480848214
FOREST,7.656885522
FORT INDEPENDENCE STREET-HEATH AVENUE,6.880697674
FULTON,6.227307692
GLENWOOD,6.909758621
GOMPERS,6.029892473
GOWANUS,7.263843537
GRANT,6.801181818
GUN HILL,7.690765306
HAMMEL,7.492688172
HARBORVIEW TERRACE,5.3766
HARLEM RIVER,7.598846154
HARLEM RIVER II,9.085
HOWARD,7.919554455
INGERSOLL,8.479848485
ISAACS,9.255252525
JACKSON,7.627356322
JEFFERSON,7.039837093
JOHNSON,6.644370079
KING TOWERS,6.603474576
LA GUARDIA,7.162644231
LA GUARDIA ADDITION,7.426666667
LAFAYETTE,6.802792208
HUGHES APARTMENTS,6.71043956
LATIMER GARDENS,8.908703704
LEHMAN VILLAGE,6.556144578
LINCOLN,6.376136364
LINDEN,7.883079365
MANHATTANVILLE,7.574011976
MANHATTANVILLE REHAB (GROUP 2),4.97
MANHATTANVILLE REHAB (GROUP 3),
MARBLE HILL,7.414277778
MARCY,7.101898734
MARINER'S HARBOR,5.422131148
MARLBORO,8.495589971
MCKINLEY,7.532065217
MELROSE,8.173515625
MILL BROOK,7.890077519
MILL BROOK EXTENSION,7.648333333
MITCHEL,7.321370219
MONROE,6.771956522
MOORE,6.707945205
MORRIS I,7.329273273
MORRISANIA AIR RIGHTS,8.566318681
MOTT HAVEN,7.046621622
NOSTRAND,7.36
PARKSIDE,6.835384615
PATTERSON,8.0543
PELHAM PARKWAY,6.682282051
PENNSYLVANIA AVENUE-WORTMAN AVENUE,6.721
PINK,7.93095092
POLO GROUNDS TOWERS,7.532865854
POMONOK,6.425357942
QUEENSBRIDGE SOUTH,7.750645032
RANGEL,7.577924528
RAVENSWOOD,6.375270936
RED HOOK EAST,7.142119565
RED HOOK WEST,7.377456395
REDFERN,8.068910256
RICHMOND TERRACE,5.5108
RIIS,6.710684327
RIIS II,5.84
ROBINSON,1.49
ROOSEVELT I,8.032430556
RUTGERS,6.483461538
SAINT MARY'S PARK,7.342826087
SAINT NICHOLAS,6.44489418
SEDGWICK,7.421566265
SEWARD PARK EXTENSION,8.166210526
SHEEPSHEAD BAY,6.944632505
SMITH,8.333390805
SOUNDVIEW,8.048633333
SOUTH BEACH,5.401358025
SOUTH JAMAICA I,5.839147727
STAPLETON,5.373880597
STUYVESANT GARDENS I,7.348867925
SUMNER,7.357686782
SURFSIDE GARDENS,6.819034091
TAFT,6.989325397
TAYLOR STREET-WYTHE AVENUE,7.454871795
THROGGS NECK,7.244482609
TILDEN,7.262015748
TOMPKINS,8.3229375
UPACA (SITE 5),8.143333333
UPACA (SITE 6),
VAN DYKE I,7.064375
WAGNER,7.418904356
WALD,6.700517241
WASHINGTON,6.704558559
WEBSTER,9.073152174
WEST BRIGHTON I,6.355263158
WEST BRIGHTON II,6.419782609
WEST TREMONT AVENUE-SEDGWICK AVENUE AREA,6.967894737
WHITMAN,7.672037037
WILLIAMS PLAZA,6.676372549
WILSON,6.725945946
WOODSIDE,7.99566416
WYCKOFF GARDENS,7.485454545
