1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,,26%,19%,7%,7%,32%,1%,8%,21.05,18.02,26.67,6.19,4.32,5.65,13.33,,,,,,,
DEVELOPMENT,DATA AS OF,HUD AMP#,TDS#,CONSOLIDATED TDS#,DEVELOPMENT EDP#,OPERATING EDP#,HUD #,PROGRAM,METHOD,TYPE,NUMBER OF SECTION 8 TRANSITION APARTMENTS,NUMBER OF CURRENT APARTMENTS,TOTAL NUMBER OF APARTMENTS,NUMBER OF RENTAL ROOMS,AVG NO R/R PER APARTMENT,POPULATION SECTION 8 TRANSITION,POPULATION PUBLIC HOUSING,TOTAL POPULATION,TOTAL # OF FIXED INCOME HOUSEHOLD,PERCENT FIXED INCOME HOUSEHOLDS,NUMBER OF RESIDENTIAL BLDGS,NUMBER OF NON-RESIDENTIAL BLDGS,NUMBER OF STAIRHALLS,NUMBER OF STORIES,TOTAL AREA SQ FT,ACRES,NET DEV AREA SQ FT,EXCLUDING PARK ACRES,BLDG COVERAGE SQ FT,CUBAGE CU FT,BLDG COVERAGE %,DENSITY,DEVELOPMENT COST,PER RENTAL ROOM,AVG MONTHLY GROSS RENT,LOCATION STREET A,LOCATION STREET B,LOCATION STREET C,LOCATION STREET D,BOROUGH,COMMUNITY DISTIRCT,US CONGRESSIONAL DISTRICT,NY STATE SENATE DISTRICT,NY STATE ASSEMBLY DISTRICT,NY CITY COUNCIL DISTRICT,COMPLETION DATE,FEDERALIZED DEVELOPMENT,SENIOR DEVELOPMENT,ELECTRICITY PAID BY RESIDENTS,PRIVATE MANAGEMENT,Total,Trash (tons/day),MGP (tons/day),Cardboard (tons/day),Paper (tons/day),Organics (tons/day),E-Waste (tons/day),Textiles (tons/day),Trash (CY/day),MGP (CY/day),Cardboard (CY/day),Paper  (CY/day),Organics (CY/day),E-Waste (CY/day),Textiles (CY/day),Trash (Gallons),MGP (Gallons),Cardboard (Gallons),Paper(Gallons),Organics (Gallons),E-Waste (Gallons),Textiles (Gallons)
1010 EAST 178TH STREET,1/1/19,NY005011330,180,180,289,289,NY005090,FEDERAL,CONVENTIONAL,NEW CONST,,218,220,918,4.21,,450,450,89,0.418,1,0,1,21,88172,2.02,88172,2.02,14961,1841787,0.1697,223,5031405,5341,503,E TREMONT AVE,BRYANT AVE,E 178TH ST,BOSTON RD,BRONX,6,15,32,87,15,3/31/71,,,,,0.545,0.1417,0.026923,0.00188461,0.000131923,4.22153E-05,4.22153E-07,3.37722E-08,2.982785,0.48515246,0.050262549,0.000816602,0.00018237,2.38516E-06,4.50184E-07,602.4450176,97.98818296,10.15172801,0.164932274,0.036833986,0.000481741,9.09254E-05
104-14 TAPSCOTT STREET,1/1/19,NY005011670,242,167,361,283,NY005174,FEDERAL,TURNKEY,NEW CONST,,30,30,131,4.37,,65,65,5,0.172,1,0,1,4,10000,0.23,10000,0.23,6983,351238,0.6983,283,839110,6505,643,TAPSCOTT ST,UNION ST,SUTTER AVE,BLAKE AVE,BROOKLYN,16,9,20,55,41,10/31/72,,,,,0.075,0.0195,0.003705,0.00025935,1.81545E-05,5.80944E-06,5.80944E-08,4.64755E-09,0.410475,0.0667641,0.006916865,0.000112376,2.50968E-05,3.28233E-07,6.19519E-08,82.90527765,13.48461233,1.397026791,0.022697102,0.005068897,6.62946E-05,1.25127E-05
1162-1176 WASHINGTON AVENUE,1/1/19,NY005013080,233,308,354,344,NY005138,FEDERAL,TURNKEY,REHAB,,65,66,293.5,4.52,,170,170,21,0.328,1,0,1,6,18987,0.44,18987,0.44,12231,851926,0.6442,386,2205187,7302,440,E 167TH ST,E 168TH ST,THIRD AVE,WASHINGTON AVE,BRONX,3,15,32,79,16,12/31/75,,,,,0.1625,0.04225,0.0080275,0.000561925,3.93348E-05,1.25871E-05,1.25871E-07,1.00697E-08,0.8893625,0.14465555,0.01498654,0.000243482,5.43764E-05,7.11172E-07,1.34229E-07,179.6281016,29.21666006,3.026891379,0.049177054,0.010982611,0.000143638,2.71108E-05
131 SAINT NICHOLAS AVENUE,1/1/19,NY005010970,154,97,264,261,NY005065,FEDERAL,CONVENTIONAL,NEW CONST,,98,100,386,3.94,,165,165,41,0.427,1,0,1,17,29359,0.67,29359,0.67,5759,771591,0.1962,246,1880013,4694,529,SAINT NICHOLAS AVE,W 116TH ST,W 117TH ST,,MANHATTAN,10,13,30,70,9,3/31/65,,,,,0.245,0.0637,0.012103,0.00084721,5.93047E-05,1.89775E-05,1.89775E-07,1.5182E-08,1.340885,0.21809606,0.022595091,0.000367096,8.19828E-05,1.07223E-06,2.02376E-07,270.823907,44.04973362,4.563620849,0.074143866,0.016558398,0.000216562,4.08747E-05
1471 WATSON AVENUE,1/1/19,NY005010670,214,67,332,222,NY005162,FEDERAL,TURNKEY,NEW CONST,,96,96,386,4.02,,156,156,47,0.505,1,0,1,6,39937,0.92,39937,0.92,13337,810629,0.334,170,2278928,5814,452,WATSON AVE,COLGATE AVE,EVERGREEN AVE,,BRONX,9,15,32,85,17,12/31/70,,,,,0.24,0.0624,0.011856,0.00082992,5.80944E-05,1.85902E-05,1.85902E-07,1.48722E-08,1.31352,0.21364512,0.022133966,0.000359604,8.03097E-05,1.05035E-06,1.98246E-07,265.2968885,43.15075947,4.47048573,0.072630726,0.016220471,0.000212143,4.00405E-05
154 WEST 84TH STREET,1/1/19,NY005013590,359,359,840,840,NY005270,FEDERAL,TURNKEY,NEW CONST,,35,35,157.5,4.5,,74,74,7,0.2,1,0,1,7,9621,0.22,9621,0.22,5774,361857,0.6001,336,4503296,28412,644,AMSTERDAM AVE,W 84TH ST,COLUMBUS AVE,,MANHATTAN,7,10,29,69,6,3/31/96,,,YES,YES,0.0875,0.02275,0.0043225,0.000302575,2.11803E-05,6.77768E-06,6.77768E-08,5.42214E-09,0.4788875,0.07789145,0.008069675,0.000131106,2.92796E-05,3.82939E-07,7.22772E-08,96.72282393,15.73204772,1.629864589,0.026479952,0.005913713,7.73437E-05,1.45981E-05
303 VERNON AVENUE,1/1/19,NY005010730,156,73,267,267,NY005068,FEDERAL,CONVENTIONAL,NEW CONST,,234,234,1101,4.71,,541,541,100,0.431,1,0,1,24,110000,2.53,110000,2.53,11311,2207369,0.1028,214,4703702,4272,511,VERNON AVE,MARCUS GARVEY BLVD,MYRTLE AVE,,BROOKLYN,3,8,18,54,36,5/31/67,,,,,0.585,0.1521,0.028899,0.00202293,0.000141605,4.53136E-05,4.53136E-07,3.62509E-08,3.201705,0.52075998,0.053951543,0.000876536,0.000195755,2.56022E-06,4.83225E-07,646.6611657,105.1799762,10.89680897,0.177037395,0.039537398,0.000517098,9.75988E-05
335 EAST 111TH STREET,1/1/19,NY005010640,203,64,320,219,NY005126,FEDERAL,TURNKEY,NEW CONST,,66,66,259,3.92,,114,114,33,0.5,1,0,1,6,20205,0.46,20205,0.46,9143,530550,0.4525,248,1241825,4651,482,SECOND AVE,E 111TH ST,FIRST AVE,E 112TH ST,MANHATTAN,11,13,29,68,8,6/30/69,,,,,0.165,0.0429,0.008151,0.00057057,3.99399E-05,1.27808E-05,1.27808E-07,1.02246E-08,0.903045,0.14688102,0.015217102,0.000247228,5.52129E-05,7.22113E-07,1.36294E-07,182.3916108,29.66614713,3.073458939,0.049933624,0.011151574,0.000145848,2.75279E-05
344 EAST 28TH STREET,1/1/19,NY005021850,185,153,452,452,NY005374,MIXED FINANCE/LLC2,CONVENTIONAL,NEW CONST,73,225,225,985.5,4.38,146,281,427,111,0.502,1,0,1,26,44644,1.02,44644,1.02,7889,1946457,0.1767,419,4980000,5053,516,E 27TH ST,NEW ST,E 28TH ST,FIRST AVE,MANHATTAN,6,12,27,74,2,3/31/71,,,,,0.5625,0.14625,0.0277875,0.001945125,0.000136159,4.35708E-05,4.35708E-07,3.48566E-08,3.0785625,0.50073075,0.051876484,0.000842823,0.000188226,2.46175E-06,4.64639E-07,621.7895824,101.1345925,10.47770093,0.170228264,0.038016729,0.00049721,9.3845E-05
