,CONS,ROLE,ACTUAL,BUDGETED,CONS_TDS,CONS_NAME,TITLE_NAME,CODE_KEY,CODE_NAME
0,Adams,AST RES BLDG SP,1,1,118,ADAMS,AST RES BLDG SP,6.0,ASUPER
1,Adams,CARETAKER HA,10,11,118,ADAMS,CARETAKER HA,10.0,CTJ
2,Adams,CARETAKER HA_G,1,1,118,ADAMS,CARETAKER HA_G,13.0,CTG
3,Adams,CARETAKER HA_X,5,5,118,ADAMS,CARETAKER HA_X,12.0,CTX
4,Adams,CLERICAL ASO,1,1,118,ADAMS,CLERICAL ASO,3.0,SEC
5,Adams,HSG AST,2,2,118,ADAMS,HSG AST,4.0,HA
6,Adams,HSG MGR,1,1,118,ADAMS,HSG MGR,1.0,PM
7,Adams,MAINT WORKER,3,4,118,ADAMS,MAINT WORKER,9.0,MW
8,Adams,RES BLDG SUPT,1,1,118,ADAMS,RES BLDG SUPT,5.0,SUPER
9,Adams,SECY,1,1,118,ADAMS,SECY,3.0,SEC
10,Adams,SUPV HSG CRTKR,1,1,118,ADAMS,SUPV HSG CRTKR,7.0,SOC
11,Adams,SUPV HSG GDKPR,1,1,118,ADAMS,SUPV HSG GDKPR,8.0,SOG
12,Albany Consolidated,AST HSG MGR,1,1,031,ALBANY CONSOLIDATED,AST HSG MGR,2.0,APM
13,Albany Consolidated,AST RES BLDG SP,2,1,031,ALBANY CONSOLIDATED,AST RES BLDG SP,6.0,ASUPER
14,Albany Consolidated,CARETAKER HA,21,19,031,ALBANY CONSOLIDATED,CARETAKER HA,10.0,CTJ
15,Albany Consolidated,CARETAKER HA_G,1,1,031,ALBANY CONSOLIDATED,CARETAKER HA_G,13.0,CTG
16,Albany Consolidated,CARETAKER HA_X,3,3,031,ALBANY CONSOLIDATED,CARETAKER HA_X,12.0,CTX
17,Albany Consolidated,HSG AST,3,3,031,ALBANY CONSOLIDATED,HSG AST,4.0,HA
18,Albany Consolidated,HSG MGR,1,1,031,ALBANY CONSOLIDATED,HSG MGR,1.0,PM
19,Albany Consolidated,MAINT WORKER,4,5,031,ALBANY CONSOLIDATED,MAINT WORKER,9.0,MW
20,Albany Consolidated,RES BLDG SUPT,1,1,031,ALBANY CONSOLIDATED,RES BLDG SUPT,5.0,SUPER
21,Albany Consolidated,SECY,1,2,031,ALBANY CONSOLIDATED,SECY,3.0,SEC
22,Albany Consolidated,SUPV HSG CRTKR,1,1,031,ALBANY CONSOLIDATED,SUPV HSG CRTKR,7.0,SOC
23,Albany Consolidated,SUPV HSG GDKPR,1,1,031,ALBANY CONSOLIDATED,SUPV HSG GDKPR,8.0,SOG
24,Amsterdam Consolidated,AST HSG MGR,1,1,022,AMSTERDAM CONSOLIDATED,AST HSG MGR,2.0,APM
25,Amsterdam Consolidated,AST RES BLDG SP,2,2,022,AMSTERDAM CONSOLIDATED,AST RES BLDG SP,6.0,ASUPER
26,Amsterdam Consolidated,CARETAKER HA,20,22,022,AMSTERDAM CONSOLIDATED,CARETAKER HA,10.0,CTJ
27,Amsterdam Consolidated,CARETAKER HA_G,2,2,022,AMSTERDAM CONSOLIDATED,CARETAKER HA_G,13.0,CTG
28,Amsterdam Consolidated,CARETAKER HA_X,4,5,022,AMSTERDAM CONSOLIDATED,CARETAKER HA_X,12.0,CTX
29,Amsterdam Consolidated,CLERICAL ASO,1,1,022,AMSTERDAM CONSOLIDATED,CLERICAL ASO,3.0,SEC
30,Amsterdam Consolidated,HSG AST,4,4,022,AMSTERDAM CONSOLIDATED,HSG AST,4.0,HA
31,Amsterdam Consolidated,HSG MGR,1,1,022,AMSTERDAM CONSOLIDATED,HSG MGR,1.0,PM
32,Amsterdam Consolidated,MAINT WORKER,7,7,022,AMSTERDAM CONSOLIDATED,MAINT WORKER,9.0,MW
33,Amsterdam Consolidated,RES BLDG SUPT,1,1,022,AMSTERDAM CONSOLIDATED,RES BLDG SUPT,5.0,SUPER
34,Amsterdam Consolidated,SECY,1,1,022,AMSTERDAM CONSOLIDATED,SECY,3.0,SEC
35,Amsterdam Consolidated,SUPV HSG CRTKR,2,2,022,AMSTERDAM CONSOLIDATED,SUPV HSG CRTKR,7.0,SOC
36,Amsterdam Consolidated,SUPV HSG GDKPR,1,1,022,AMSTERDAM CONSOLIDATED,SUPV HSG GDKPR,8.0,SOG
37,Astoria,AST HSG MGR,1,1,026,ASTORIA,AST HSG MGR,2.0,APM
38,Astoria,AST RES BLDG SP,1,1,026,ASTORIA,AST RES BLDG SP,6.0,ASUPER
39,Astoria,CARETAKER HA,18,16,026,ASTORIA,CARETAKER HA,10.0,CTJ
40,Astoria,CARETAKER HA_G,3,3,026,ASTORIA,CARETAKER HA_G,13.0,CTG
41,Astoria,CARETAKER HA_X,3,3,026,ASTORIA,CARETAKER HA_X,12.0,CTX
42,Astoria,HSG AST,3,3,026,ASTORIA,HSG AST,4.0,HA
43,Astoria,HSG MGR,1,1,026,ASTORIA,HSG MGR,1.0,PM
44,Astoria,MAINT WORKER,5,5,026,ASTORIA,MAINT WORKER,9.0,MW
45,Astoria,RES BLDG SUPT,1,1,026,ASTORIA,RES BLDG SUPT,5.0,SUPER
46,Astoria,SECY,1,2,026,ASTORIA,SECY,3.0,SEC
47,Astoria,SUPV HSG CRTKR,1,1,026,ASTORIA,SUPV HSG CRTKR,7.0,SOC
48,Astoria,SUPV HSG GDKPR,1,1,026,ASTORIA,SUPV HSG GDKPR,8.0,SOG
49,Baisley Park Consolidated,AST HSG MGR,1,1,091,BAISLEY PARK CONSOLIDATED,AST HSG MGR,2.0,APM
50,Baisley Park Consolidated,AST RES BLDG SP,1,1,091,BAISLEY PARK CONSOLIDATED,AST RES BLDG SP,6.0,ASUPER
51,Baisley Park Consolidated,CARETAKER HA,16,14,091,BAISLEY PARK CONSOLIDATED,CARETAKER HA,10.0,CTJ
52,Baisley Park Consolidated,CARETAKER HA_G,1,2,091,BAISLEY PARK CONSOLIDATED,CARETAKER HA_G,13.0,CTG
53,Baisley Park Consolidated,CARETAKER HA_X,5,5,091,BAISLEY PARK CONSOLIDATED,CARETAKER HA_X,12.0,CTX
54,Baisley Park Consolidated,HSG AST,3,3,091,BAISLEY PARK CONSOLIDATED,HSG AST,4.0,HA
55,Baisley Park Consolidated,HSG MGR,1,1,091,BAISLEY PARK CONSOLIDATED,HSG MGR,1.0,PM
56,Baisley Park Consolidated,MAINT WORKER,5,5,091,BAISLEY PARK CONSOLIDATED,MAINT WORKER,9.0,MW
57,Baisley Park Consolidated,RES BLDG SUPT,1,1,091,BAISLEY PARK CONSOLIDATED,RES BLDG SUPT,5.0,SUPER
58,Baisley Park Consolidated,SECY,2,2,091,BAISLEY PARK CONSOLIDATED,SECY,3.0,SEC
59,Baisley Park Consolidated,SUPV HSG CRTKR,1,1,091,BAISLEY PARK CONSOLIDATED,SUPV HSG CRTKR,7.0,SOC
60,Baisley Park Consolidated,SUPV HSG GDKPR,1,1,091,BAISLEY PARK CONSOLIDATED,SUPV HSG GDKPR,8.0,SOG
61,Baruch Consolidated,AST HSG MGR,2,2,060,BARUCH CONSOLIDATED,AST HSG MGR,2.0,APM
62,Baruch Consolidated,AST RES BLDG SP,2,2,060,BARUCH CONSOLIDATED,AST RES BLDG SP,6.0,ASUPER
63,Baruch Consolidated,CARETAKER HA,36,36,060,BARUCH CONSOLIDATED,CARETAKER HA,10.0,CTJ
64,Baruch Consolidated,CARETAKER HA_G,1,2,060,BARUCH CONSOLIDATED,CARETAKER HA_G,13.0,CTG
65,Baruch Consolidated,CARETAKER HA_X,5,3,060,BARUCH CONSOLIDATED,CARETAKER HA_X,12.0,CTX
66,Baruch Consolidated,HSG AST,5,6,060,BARUCH CONSOLIDATED,HSG AST,4.0,HA
67,Baruch Consolidated,HSG MGR,1,1,060,BARUCH CONSOLIDATED,HSG MGR,1.0,PM
68,Baruch Consolidated,MAINT WORKER,9,10,060,BARUCH CONSOLIDATED,MAINT WORKER,9.0,MW
69,Baruch Consolidated,RES BLDG SUPT,1,1,060,BARUCH CONSOLIDATED,RES BLDG SUPT,5.0,SUPER
70,Baruch Consolidated,SECY,3,3,060,BARUCH CONSOLIDATED,SECY,3.0,SEC
71,Baruch Consolidated,SUPV HSG CRTKR,2,2,060,BARUCH CONSOLIDATED,SUPV HSG CRTKR,7.0,SOC
72,Baruch Consolidated,SUPV HSG GDKPR,1,1,060,BARUCH CONSOLIDATED,SUPV HSG GDKPR,8.0,SOG
73,Beach 41st Street Consolidation,AST HSG MGR,1,1,165,BEACH 41ST STREET-BEACH CHANNEL DRIVE,AST HSG MGR,2.0,APM
74,Beach 41st Street Consolidation,AST RES BLDG SP,1,1,165,BEACH 41ST STREET-BEACH CHANNEL DRIVE,AST RES BLDG SP,6.0,ASUPER
75,Beach 41st Street Consolidation,CARETAKER HA,14,15,165,BEACH 41ST STREET-BEACH CHANNEL DRIVE,CARETAKER HA,10.0,CTJ
76,Beach 41st Street Consolidation,CARETAKER HA_G,2,2,165,BEACH 41ST STREET-BEACH CHANNEL DRIVE,CARETAKER HA_G,13.0,CTG
77,Beach 41st Street Consolidation,CARETAKER HA_X,5,5,165,BEACH 41ST STREET-BEACH CHANNEL DRIVE,CARETAKER HA_X,12.0,CTX
78,Beach 41st Street Consolidation,HSG AST,3,3,165,BEACH 41ST STREET-BEACH CHANNEL DRIVE,HSG AST,4.0,HA
79,Beach 41st Street Consolidation,HSG MGR,1,1,165,BEACH 41ST STREET-BEACH CHANNEL DRIVE,HSG MGR,1.0,PM
80,Beach 41st Street Consolidation,MAINT WORKER,6,5,165,BEACH 41ST STREET-BEACH CHANNEL DRIVE,MAINT WORKER,9.0,MW
81,Beach 41st Street Consolidation,RES BLDG SUPT,1,1,165,BEACH 41ST STREET-BEACH CHANNEL DRIVE,RES BLDG SUPT,5.0,SUPER
82,Beach 41st Street Consolidation,SECY,2,2,165,BEACH 41ST STREET-BEACH CHANNEL DRIVE,SECY,3.0,SEC
83,Beach 41st Street Consolidation,SUPV HSG CRTKR,1,1,165,BEACH 41ST STREET-BEACH CHANNEL DRIVE,SUPV HSG CRTKR,7.0,SOC
84,Beach 41st Street Consolidation,SUPV HSG GDKPR,1,1,165,BEACH 41ST STREET-BEACH CHANNEL DRIVE,SUPV HSG GDKPR,8.0,SOG
85,Berry,AST RES BLDG SP,1,1,052,BERRY,AST RES BLDG SP,6.0,ASUPER
86,Berry,CARETAKER HA,11,8,052,BERRY,CARETAKER HA,10.0,CTJ
87,Berry,CARETAKER HA_G,0,1,052,BERRY,CARETAKER HA_G,13.0,CTG
88,Berry,CARETAKER HA_X,4,4,052,BERRY,CARETAKER HA_X,12.0,CTX
89,Berry,HSG AST,2,2,052,BERRY,HSG AST,4.0,HA
90,Berry,HSG MGR,1,1,052,BERRY,HSG MGR,1.0,PM
91,Berry,MAINT WORKER,2,2,052,BERRY,MAINT WORKER,9.0,MW
92,Berry,RES BLDG SUPT,1,1,052,BERRY,RES BLDG SUPT,5.0,SUPER
93,Berry,SECY,2,2,052,BERRY,SECY,3.0,SEC
94,Berry,SUPV HSG CRTKR,1,1,052,BERRY,SUPV HSG CRTKR,7.0,SOC
95,Berry,SUPV HSG GDKPR,1,1,052,BERRY,SUPV HSG GDKPR,8.0,SOG
96,Borinquen Plaza Consolidated,AST RES BLDG SP,1,1,243,BORINQUEN PLAZA CONSOLIDATED,AST RES BLDG SP,6.0,ASUPER
97,Borinquen Plaza Consolidated,CARETAKER HA,18,16,243,BORINQUEN PLAZA CONSOLIDATED,CARETAKER HA,10.0,CTJ
98,Borinquen Plaza Consolidated,CARETAKER HA_G,1,1,243,BORINQUEN PLAZA CONSOLIDATED,CARETAKER HA_G,13.0,CTG
99,Borinquen Plaza Consolidated,CARETAKER HA_X,3,4,243,BORINQUEN PLAZA CONSOLIDATED,CARETAKER HA_X,12.0,CTX
100,Borinquen Plaza Consolidated,CITY ATTENDANT,1,1,243,BORINQUEN PLAZA CONSOLIDATED,CITY ATTENDANT,3.0,SEC
101,Borinquen Plaza Consolidated,CLERICAL ASO,1,1,243,BORINQUEN PLAZA CONSOLIDATED,CLERICAL ASO,3.0,SEC
102,Borinquen Plaza Consolidated,HSG AST,2,2,243,BORINQUEN PLAZA CONSOLIDATED,HSG AST,4.0,HA
103,Borinquen Plaza Consolidated,HSG MGR,1,1,243,BORINQUEN PLAZA CONSOLIDATED,HSG MGR,1.0,PM
104,Borinquen Plaza Consolidated,MAINT WORKER,4,4,243,BORINQUEN PLAZA CONSOLIDATED,MAINT WORKER,9.0,MW
105,Borinquen Plaza Consolidated,RES BLDG SUPT,1,1,243,BORINQUEN PLAZA CONSOLIDATED,RES BLDG SUPT,5.0,SUPER
106,Borinquen Plaza Consolidated,SUPV HSG CRTKR,1,1,243,BORINQUEN PLAZA CONSOLIDATED,SUPV HSG CRTKR,7.0,SOC
