DEVELOPMENT,BOROUGH,WORK TYPE,PROGRAM,AM District,RAD/PACT,UNITS,CYEAR,FYEAR,STATUS,COST,ESTIMATE,FUNDING,IMPLEM_METHOD
CLAREMONT REHAB (GROUP 3),BRONX,Interior Compactors,FEDERAL,4,2022-2025,8,2019,2020,COMPLETED,,#N/A,NRR City Expense,CPD PM Team
HIGHBRIDGE GARDENS,BRONX,Interior Compactors,FEDERAL,4,,6,2019,2020,COMPLETED,,"$285,309.00 ",NRR City Expense,CPD PM Team
LA GUARDIA ADDITION,MANHATTAN,Interior Compactors,FEDERAL,3,,1,2019,2020,COMPLETED,,"$46,198.00 ",NRR City Expense,CPD PM Team
MORRIS I,BRONX,Interior Compactors,FEDERAL,3,,10,2019,2020,COMPLETED,,"$1,005,592.00 ",NRR City Expense,CPD PM Team
SEWARD PARK EXTENSION,MANHATTAN,Interior Compactors,FEDERAL,3,,2,2019,2020,COMPLETED,, $-   ,NRR City Expense,CPD PM Team
SMITH,MANHATTAN,Interior Compactors,FEDERAL,3,,12,2019,2020,COMPLETED,,"$1,153,953.00 ",NRR City Expense,CPD PM Team
SUMNER,BROOKLYN,Interior Compactors,FEDERAL,3,,24,2019,2020,COMPLETED,,"$957,660.00 ",NRR City Expense,CPD PM Team
WALD,MANHATTAN,Interior Compactors,FEDERAL,3,,16,2019,2020,COMPLETED,,"$775,248.00 ",NRR City Expense,CPD PM Team
TOMPKINS,BROOKLYN,Interior Compactors,FEDERAL,3,2026+,12,2019,2020,COMPLETED,,"$538,903.00 ",NRR City Expense,CPD PM Team
45 ALLEN STREET,MANHATTAN,Interior Compactors,FEDERAL,3,,1,2019,2020,COMPLETED,,"$53,023.00 ",NRR City Expense,CPD PM Team
BRACETTI PLAZA,MANHATTAN,Interior Compactors,FEDERAL,3,2026+,2,2019,2020,COMPLETED,,"$94,981.00 ",NRR City Expense,CPD PM Team
BUSHWICK,BROOKLYN,Interior Compactors,MIXED FINANCE/LLC1,1,,8,2019,2020,COMPLETED,,"$220,329.00 ",NRR City Expense,CPD PM Team
GOMPERS,MANHATTAN,Interior Compactors,FEDERAL,3,,4,2019,2020,COMPLETED,,"$191,322.00 ",NRR City Expense,CPD PM Team
LA GUARDIA,MANHATTAN,Interior Compactors,FEDERAL,3,,9,2019,2020,COMPLETED,,"$479,884.00 ",NRR City Expense,CPD PM Team
LOWER EAST SIDE II,MANHATTAN,Interior Compactors,FEDERAL,3,2026+,1,#N/A,#N/A,#N/A,,#N/A,NRR City Expense,CPD PM Team
RUTGERS,MANHATTAN,Interior Compactors,MIXED FINANCE/LLC1,3,,5,2019,2020,COMPLETED,, $-   ,NRR City Expense,CPD PM Team
TWO BRIDGES URA (SITE 7),MANHATTAN,Interior Compactors,FEDERAL,3,,1,2019,2020,COMPLETED,,"$84,804.00 ",NRR City Expense,CPD PM Team
BUTLER,BRONX,Interior Compactors,FEDERAL,3,,6,2019,2020,IN PROGRESS,, $-   ,NRR City Expense,CPD PM Team
EAST 180TH STREET-MONTEREY AVENUE,BRONX,Interior Compactors,FEDERAL,6,,2,2019,2020,IN PROGRESS,, $-   ,NRR City Expense,CPD PM Team
FIRST HOUSES,MANHATTAN,Interior Compactors,FEDERAL,3,2026+,8,2019,2020,IN PROGRESS,,"$405,596.00 ",NRR City Expense,CPD PM Team
HYLAN,BROOKLYN,Interior Compactors,FEDERAL,1,,1,2019,2020,IN PROGRESS,,"$63,283.00 ",NRR City Expense,CPD PM Team
LOWER EAST SIDE I INFILL,MANHATTAN,Interior Compactors,FEDERAL,3,,1,2019,2020,IN PROGRESS,, $-   ,NRR City Expense,CPD PM Team
TWIN PARKS EAST (SITE 9),BRONX,Interior Compactors,FEDERAL,6,,1,2019,2020,IN PROGRESS,, $-   ,NRR City Expense,CPD PM Team
VLADECK,MANHATTAN,Interior Compactors,FEDERAL,3,,45,2019,2020,IN PROGRESS,, $-   ,NRR City Expense,CPD PM Team
VLADECK II,MANHATTAN,Interior Compactors,FEDERAL,3,,9,2019,2020,IN PROGRESS,, $-   ,NRR City Expense,CPD PM Team
WEBSTER,BRONX,Interior Compactors,FEDERAL,3,,5,2019,2020,IN PROGRESS,, $-   ,NRR City Expense,CPD PM Team
ROOSEVELT I,BROOKLYN,Interior Compactors,FEDERAL,3,,6,2020,2020,COMPLETED,,"$280,640.00 ",NRR City Expense,CPD PM Team
ROOSEVELT II,BROOKLYN,Interior Compactors,FEDERAL,3,,3,2020,2020,COMPLETED,,"$141,242.00 ",NRR City Expense,CPD PM Team
HERNANDEZ,MANHATTAN,Interior Compactors,FEDERAL,3,,1,2020,2020,COMPLETED,,"$59,677.00 ",NRR City Expense,CPD PM Team
MELTZER TOWER,MANHATTAN,Interior Compactors,FEDERAL,3,,1,2020,2020,COMPLETED,,"$55,349.00 ",NRR City Expense,CPD PM Team
MORRIS II,BRONX,Interior Compactors,FEDERAL,3,,7,2020,2020,COMPLETED,, $-   ,NRR City Expense,CPD PM Team
BEDFORD-STUYVESANT REHAB,BROOKLYN,Interior Compactors,FEDERAL,3,,5,#N/A,#N/A,#N/A,,#N/A,NRR City Expense,CPD PM Team
PINK,BROOKLYN,Interior Compactors,FEDERAL,5,,22,2020,2020,IN PROGRESS,,"$1,387,925.00 ",NRR City Expense,CPD PM Team
303 VERNON AVENUE,BROOKLYN,Interior Compactors,FEDERAL,3,,1,2020,2020,QUEUED,,"$63,087.50 ",CF18 Funds,Jacobs - JOCS
BLAND,QUEENS,Interior Compactors,FEDERAL,7,,5,2020,2020,QUEUED,,"$315,437.50 ",CF18 Funds,Jacobs - JOCS
BOYNTON AVENUE REHAB,BRONX,Interior Compactors,FEDERAL,9,,3,2020,2020,QUEUED,,"$189,262.50 ",CF18 Funds,Jacobs - JOCS
BROWN,BROOKLYN,Interior Compactors,FEDERAL,16,,2,2020,2020,QUEUED,,"$126,175.00 ",CF18 Funds,Jacobs - JOCS
CLINTON,MANHATTAN,Interior Compactors,FEDERAL,11,,6,2020,2021,QUEUED,,"$378,525.00 ",CF18 Funds,Jacobs - JOCS
DAVIDSON,BRONX,Interior Compactors,FEDERAL,3,2026+,1,2020,2020,QUEUED,,"$63,087.50 ",CF18 Funds,Jacobs - JOCS
DOUGLASS ADDITION,MANHATTAN,Interior Compactors,FEDERAL,7,,1,2020,2020,QUEUED,,"$63,087.50 ",CF18 Funds,Jacobs - JOCS
FARRAGUT,BROOKLYN,Interior Compactors,FEDERAL,2,2026+,10,2020,2020,QUEUED,,"$630,875.00 ",CF18 Funds,Jacobs - JOCS
HARBORVIEW TERRACE,MANHATTAN,Interior Compactors,FEDERAL,4,,2,2020,2020,QUEUED,,"$126,175.00 ",CF18 Funds,Jacobs - JOCS
JOHNSON,MANHATTAN,Interior Compactors,FEDERAL,11,2026+,17,2020,2021,QUEUED,,"$1,072,487.50 ",CF18 Funds,Jacobs - JOCS
KING TOWERS,MANHATTAN,Interior Compactors,FEDERAL,10,,10,2020,2020,QUEUED,,"$630,875.00 ",CF18 Funds,Jacobs - JOCS
LAFAYETTE,BROOKLYN,Interior Compactors,FEDERAL,3,,7,2020,2020,QUEUED,,"$441,612.50 ",CF18 Funds,Jacobs - JOCS
LONG ISLAND BAPTIST HOUSES,BROOKLYN,Interior Compactors,FEDERAL,5,2026+,4,2020,2020,QUEUED,,"$252,350.00 ",CF18 Funds,Jacobs - JOCS
LOWER EAST SIDE REHAB (GROUP 5),MANHATTAN,Interior Compactors,FEDERAL,3,2026+,3,2020,2020,QUEUED,,"$189,262.50 ",CF18 Funds,Jacobs - JOCS
MIDDLETOWN PLAZA,BRONX,Interior Compactors,FEDERAL,10,2026+,1,2020,2020,QUEUED,,"$63,087.50 ",CF18 Funds,Jacobs - JOCS
MORRISANIA AIR RIGHTS,BRONX,Interior Compactors,FEDERAL,"3, 4",,5,2020,2020,QUEUED,,"$315,437.50 ",CF18 Funds,Jacobs - JOCS
REHAB PROGRAM (DOUGLASS REHABS),MANHATTAN,Interior Compactors,FEDERAL,7,,3,2020,2020,QUEUED,,"$63,087.50 ",CF18 Funds,Jacobs - JOCS
RIIS,MANHATTAN,Interior Compactors,FEDERAL,3,,18,2020,2020,QUEUED,,"$1,135,575.00 ",CF18 Funds,Jacobs - JOCS
