MAKE,MODL,YEAR,DESCRIPTION,SERIAL #,PO #, COST ,DATE,LOCATION,Tag # 
TENNANT,S30,2016,SWEEPER,7741,1615411,"$48,687.07 ",8/2/16,SACKWERN,MA-489569
TENNANT,S30,2016,SWEEPER,7747,1615411,"$48,687.07 ",8/2/16,SOUNDVIEW,MA-489570
TENNANT,S30,2016,SWEEPER,7754,1615411,"$48,687.07 ",8/4/16,KING TOWERS,MA-489571
TENNANT,S30,2016,SWEEPER,7761,1615411,"$48,687.07 ",8/4/16,BAYCHESTER,MA-489572
TENNANT,S30,2016,SWEEPER,7762,1615411,"$48,687.07 ",8/9/16,DYCKMAN,MA-489573
TENNANT,S30,2016,SWEEPER,7771,1615411,"$48,687.07 ",8/9/16,MANHATTANVILLE,MA-489574
TENNANT,S30,2016,SWEEPER,7777,1615411,"$48,687.07 ",8/17/16,BUSHWICK,MA-489575
TENNANT,S30,2016,SWEEPER,7783,1615411,"$48,687.07 ",8/17/16,CONEY ISLAND,MA-489576
TENNANT,S30,2016,SWEEPER,7787,1615411,"$48,687.07 ",8/17/16,JEFFERSON,MA-489577
TENNANT,S30,2016,SWEEPER,7796,1615411,"$48,687.07 ",8/25/16,SETHLOW,MA-489578
TENNANT,S30,2016,SWEEPER,7798,1615411,"$48,687.07 ",8/25/16,ALBANY,MA-489579
TENNANT,S30,2016,SWEEPER,7809,1615411,"$48,687.07 ",8/25/16,WOODSIDE,MA-489580
TENNANT,S30,2016,SWEEPER,7811,1615411,"$48,687.07 ",8/31/16,GLENWOOD,MA-489581
TENNANT,S30,2016,SWEEPER,7815,1615411,"$48,687.07 ",8/31/16,GOWANUS,MA-489582
TENNANT,S30,2016,SWEEPER,7819,1615411,"$48,687.07 ",8/31/16,OCEANBAY,MA-489583
TENNANT,S30,2016,SWEEPER,7926,1624897,"$48,687.07 ",11/9/16,ASTORIA,MA-489618
TENNANT,S30,2016,SWEEPER,7929,1624897,"$48,687.07 ",11/9/16,BAISLEY,MA-489619
TENNANT,S30,2016,SWEEPER,7931,1624897,"$48,687.07 ",11/21/16,FARRAGUT,MA-489644
TENNANT,S30,2016,SWEEPER,7938,1624897,"$48,687.07 ",11/21/16,GOMPERS,MA-489643
TENNANT,S30,2016,SWEEPER,7945,1624897,"$48,687.07 ",11/21/16,HIGHBRIDGE GARDENS,MA-489641
TENNANT,S30,2016,SWEEPER,7949,1624897,"$48,687.07 ",11/21/16,DREW HAMILTON,MA-489638
TENNANT,S30,2016,SWEEPER,7952,1624897,"$48,687.07 ",11/21/16,MORRIS,MA-489639
TENNANT,S30,2016,SWEEPER,7956,1624897,"$48,687.07 ",11/21/16,CAREY GARDENS,MA-489642
TENNANT,S30,2016,SWEEPER,7960,1624897,"$48,687.07 ",11/21/16,FOREST,MA-489640
TENNANT,S30,2016,SWEEPER,7963,1624897,"$48,687.07 ",12/21/16,TOMPKINS,MA-489698
TENNANT,S30,2016,SWEEPER,7967,1624897,"$48,687.07 ",12/9/16,SEDGWICK,MA-489683
TENNANT,S30,2016,SWEEPER,7970,1624897,"$48,687.07 ",12/9/16,PELHAM PARKWAY,MA-489682
TENNANT,S30,2016,SWEEPER,7973,1624897,"$48,687.07 ",12/21/16,WHITMAN,MA-489697
TENNANT,S30,2016,SWEEPER,7976,1624897,"$48,687.07 ",12/19/16,LAQUARDIA,MA-489692
TENNANT,S30,2016,SWEEPER,7982,1624897,"$48,687.07 ",12/19/16,LINDEN,MA-489691
TENNANT,S30,2016,SWEEPER,7985,1624897,"$48,687.07 ",12/19/16,MARCY,MA-489690
TENNANT,S30,2016,SWEEPER,7988,1624897,"$48,687.07 ",12/19/16,MORRISANIA AIR RIGHTS,MA-489688
TENNANT,S30,2016,SWEEPER,7991,1624897,"$48,687.07 ",12/19/16,O'DWYER GARDENS,MA-489689
TENNANT,S30,2016,SWEEPER,8005,1624897,"$48,687.07 ",12/22/16,SUMNER,MA-489709
TENNANT,S30,2016,SWEEPER,8008,1624897,"$48,687.07 ",12/22/16,TODT HILL,MA-489699
TENNANT ,S30,2017,SWEEPER,8609,1728882,"$48,687.07 ",12/27/17,LAFAYETTE,MA-489793
TENNANT ,S30,2017,SWEEPER,8612,1728882,"$48,687.07 ",12/27/17,RAVENSWOOD,MA-489794
TENNANT ,S30,2017,SWEEPER,8615,1728882,"$48,687.07 ",12/27/17,ELLIOTT /CHELSEA,MA-489795
TENNANT ,S30,2017,SWEEPER,8617,1728882,"$48,687.07 ",12/27/17,PARKSIDE,MA-489796
    JOHN DEERE,     4052R,2016,     TRACTOR,     1LV4052RAFH240488,1528287,"$47,500.00 ",12/24/15,QUEENSBRIDGE NORTH,        MA-489358
    JOHN DEERE,     4052R,2016,     TRACTOR,     1LV4052RAFH240524,1528287,"$47,500.00 ",  12/30/2015,RAVENSWOOD,        MA-489356
    JOHN DEERE,     4052R,2016,     TRACTOR,     1LV4052RAFH240538,1528287,"$47,500.00 ",  12/24/2015,        GUNHILL/ PARKSIDE,        MA-489349
    JOHN DEERE,     4052R,2016,     TRACTOR,     1LV4052RCFH240519,1528287,"$47,500.00 ",  12/30/2015,LAFAYETTE,MA-489351
    JOHN DEERE,     4052R,2016,     TRACTOR,     1LV4052RCFH240567,1528287,"$47,500.00 ",12/28/15,DREW HAMILTON,        MA-489355
    JOHN DEERE,     4052R,2016,     TRACTOR,     1LV4052REFH240527,1528287,"$47,500.00 ",12/28/15,LES 2,        MA-489354
    JOHN DEERE,     4052R,2016,     TRACTOR,     1LV4052RHFH240560,1528287,"$47,500.00 ",  12/24/2015,CASTLE HILL,        MA-489350
    JOHN DEERE,     4052R,2016,     TRACTOR,     1LV4052RJFH240521,1528287,"$47,500.00 ",12/29/15,   BROWNSVILLE,        MA-489353
    JOHN DEERE,     4052R,2016,     TRACTOR,     1LV4052RLFH240525,1528287,"$47,500.00 ",12/28/15,  TAFT,        MA-489352
    JOHN DEERE,     4052R,2016,     TRACTOR,     1LV4052RLFH240539,1528287,"$47,500.00 ",  12/24/2015,   EDENWALD,        MA-489357
JOHN DEERE,4044R,2015,TRACTOR,1LV4044RCEH140264,1501619,"$47,464.36 ",3/25/15,TILDEN,EQ-022873
JOHN DEERE ,4052R,2016,TRACTOR,1LV4052RAGG400439,1626694,"$45,791.00 ",12/19/16,TOMPKINS,MA-489660
JOHN DEERE ,4052R,2016,TRACTOR,1LV4052RAGG400473,1626694,"$45,791.00 ",12/30/16,ST. NICHOLAS,MA-489714
JOHN DEERE ,4052R,2016,TRACTOR,1LV4052REGG400381,1626694,"$45,791.00 ",12/19/16,JOHNSON,MA-489668
JOHN DEERE ,4052R,2016,TRACTOR,1LV4052REGG400395,1626694,"$45,791.00 ",12/7/16,MORRIS,MA-489658
JOHN DEERE ,4052R,2016,TRACTOR,1LV4052REGG400414,1626694,"$45,791.00 ",12/8/16,MONROE,MA-489667
JOHN DEERE ,4052R,2016,TRACTOR,1LV4052REGG400431,1626694,"$45,791.00 ",12/20/16,SMITH,MA-489669
JOHN DEERE ,4052R,2016,TRACTOR,1LV4052RHGG400430,1626694,"$45,791.00 ",12/7/16,MORRISANIA AIR RIGHTS,MA-489657
JOHN DEERE ,4052R,2016,TRACTOR,1LV4052RHGG400444,1626694,"$45,791.00 ",12/22/16,POMONOCK,MA-489684
JOHN DEERE ,4052R,2016,TRACTOR,1LV4052RJGG400386,1626694,"$45,791.00 ",12/19/16,WAGNER,MA-489665
JOHN DEERE ,4052R,2016,TRACTOR,1LV4052RKGG400452,1626694,"$45,791.00 ",12/21/16,VLADECK,MA-489686
