GEO_BORO,NYCHA_BORO,CONS_TDS,CONS_NAME,DEV_NAME,TDS,AMP,TOTAL_HH,TOTAL_POP,AVG_FAMILY_SIZE,AVG_TENURE,CURRENT_APTS,TOTAL_APTS,STAIRHALLS
Bronx,Bronx,180,1010 EAST 178TH STREET,1010 EAST 178TH STREET,180,NY005011330,214,448,2.1,21.3,218,220,1
Bronx,Bronx,308,Claremont Consolidated,1162-1176 WASHINGTON AVENUE,233,NY005013080,64,167,2.6,14.7,65,66,1
Bronx,Bronx,67,Sotomayor,1471 WATSON AVENUE,214,NY005010670,96,158,1.6,23.2,96,96,1
Bronx,Bronx,118,Adams,ADAMS,118,NY005001180,919,"2,253",2.5,22.5,924,925,7
Bronx,Bronx,197,Fort Independence,BAILEY AVENUE-WEST 193RD STREET,202,NY005012020,233,459,2,20,232,233,1
Bronx,Bronx,39,Pelham Parkway,BOSTON ROAD PLAZA,189,NY005010390,229,274,1.2,18.8,232,235,2
Bronx,Bronx,138,Boston Secor,BOSTON SECOR,138,NY005011380,535,"1,316",2.5,21.4,538,538,5
Bronx,Bronx,32,Bronx River,BOYNTON AVENUE REHAB,346,NY005010320,82,182,2.2,19.2,82,82,3
Bronx,Bronx,32,Bronx River,BRONX RIVER,32,NY005010320,"1,225","2,919",2.4,22.6,1245,1246,10
Bronx,Bronx,32,Bronx River,BRONX RIVER ADDITION,157,NY005010320,217,232,1.1,13.3,226,226,2
Bronx,Private Mgmt,530,Building Management Associates (BX 1),BRYANT AVENUE-EAST 174TH STREET,235,NY005015300,72,139,1.9,20.1,72,72,1
Bronx,Bronx,113,Butler,BUTLER,113,NY005001130,"1,474","4,235",2.9,18.8,1476,1492,7
Bronx,Mixed Finance,80,Castle Hill,CASTLE HILL,80,NY005020800,"1,975","4,793",2.4,22.1,2022,2025,14
Bronx,Bronx,342,Union Avenue Consolidated,CLAREMONT PARKWAY-FRANKLIN AVENUE,334,NY005013420,185,272,1.5,18.2,187,188,13
Bronx,Bronx,308,Claremont Consolidated,CLAREMONT REHAB (GROUP 2),307,NY005013080,104,240,2.3,17,106,107,6
Bronx,Bronx,308,Claremont Consolidated,CLAREMONT REHAB (GROUP 3),308,NY005013080,104,244,2.3,18.6,107,115,5
Bronx,Bronx,308,Claremont Consolidated,CLAREMONT REHAB (GROUP 4),335,NY005013080,144,322,2.2,18.8,147,150,9
Bronx,Bronx,308,Claremont Consolidated,CLAREMONT REHAB (GROUP 5),336,NY005013080,125,292,2.3,20.4,129,135,3
Bronx,Bronx,280,Sack Wern,CLASON POINT GARDENS,11,NY005012800,398,873,2.2,28.9,401,401,192
Bronx,Bronx,308,Claremont Consolidated,COLLEGE AVENUE-EAST 165TH STREET,236,NY005013080,93,101,1.1,12.5,95,95,1
Bronx,Bronx,342,Union Avenue Consolidated,DAVIDSON,190,NY005013420,172,466,2.7,17.7,175,175,2
Bronx,Bronx,59,Forest,EAGLE AVENUE-EAST 163RD STREET,224,NY005000590,62,127,2,18.2,65,66,1
Bronx,NGO1,28,Melrose,EAST 152ND STREET-COURTLANDT AVENUE,237,NY005010280,221,382,1.7,19.8,221,221,2
Bronx,Private Mgmt,530,Building Management Associates (BX 1),EAST 165TH STREET-BRYANT AVENUE,304,NY005015300,110,361,3.3,19.7,111,111,19
Bronx,Private Mgmt,530,Building Management Associates (BX 1),EAST 173RD STREET-VYSE AVENUE,338,NY005015300,162,381,2.4,19.8,168,168,28
Bronx,Bronx,180,1010 EAST 178TH STREET,EAST 180TH STREET-MONTEREY AVENUE,208,NY005012270,238,526,2.2,21.9,239,239,3
Bronx,Bronx,34,Eastchester Gardens,EASTCHESTER GARDENS,34,NY005010340,862,"1,981",2.3,26,877,877,15
Bronx,Bronx,57,Edenwald,EDENWALD,57,NY005000570,"2,009","4,783",2.4,22.9,2035,2039,71
Bronx,Bronx,59,Forest,FOREST,59,NY005000590,"1,326","2,908",2.2,24.3,1348,1350,15
