Consolidated Name,Development Name  , TDS #,Development typology
1010 EAST 178TH STREET,1010 EAST 178TH STREET,180,1 - High-rise in the park
1010 EAST 178TH STREET,EAST 180TH STREET-MONTEREY AVENUE,208,5 - Context Mid-rises
1010 EAST 178TH STREET,TWIN PARKS EAST (SITE 9),287,2 - Mid-rise in the park
Adams,ADAMS,118,1 - High-rise in the park
Boston Secor,BOSTON SECOR,138,1 - High-rise in the park
Bronx River,BOYNTON AVENUE REHAB,346,6 - Walkups & Brownstones
Bronx River,BRONX RIVER,32,2 - Mid-rise in the park
Bronx River,BRONX RIVER ADDITION,157,2 - Mid-rise in the park
Butler,BUTLER,113,1 - High-rise in the park
Claremont Consolidated,1162-1176 WASHINGTON AVENUE,233,6 - Walkups & Brownstones
Claremont Consolidated,CLAREMONT REHAB (GROUP 2),307,6 - Walkups & Brownstones
Claremont Consolidated,CLAREMONT REHAB (GROUP 3),308,6 - Walkups & Brownstones
Claremont Consolidated,CLAREMONT REHAB (GROUP 4),335,6 - Walkups & Brownstones
Claremont Consolidated,CLAREMONT REHAB (GROUP 5),336,6 - Walkups & Brownstones
Claremont Consolidated,COLLEGE AVENUE-EAST 165TH STREET,236,6 - Walkups & Brownstones
Claremont Consolidated,TELLER AVENUE-EAST 166TH STREET,223,6 - Walkups & Brownstones
Eastchester Gardens,EASTCHESTER GARDENS,34,2 - Mid-rise in the park
Eastchester Gardens,MIDDLETOWN PLAZA,191,5 - Context Mid-rises
Edenwald,EDENWALD,57,2 - Mid-rise in the park
Forest,EAGLE AVENUE-EAST 163RD STREET,224,6 - Walkups & Brownstones
Forest,FOREST,59,2 - Mid-rise in the park
Forest,MCKINLEY,103,1 - High-rise in the park
Fort Independence,BAILEY AVENUE-WEST 193RD STREET,202,1 - High-rise in the park
Fort Independence,FORT INDEPENDENCE STREET-HEATH AVENUE,197,1 - High-rise in the park
Gun Hill,GUN HILL,40,2 - Mid-rise in the park
Highbridge Gardens,HIGHBRIDGE GARDENS,78,2 - Mid-rise in the park
Monroe,MONROE,88,1 - High-rise in the park
Morris,MORRIS I,102,1 - High-rise in the park
Morris,MORRIS II,502,1 - High-rise in the park
Morrisania Air Rights,JACKSON,120,1 - High-rise in the park
Morrisania Air Rights,MORRISANIA AIR RIGHTS,267,4 - Context Towers
Parkside,PARKSIDE,47,1 - High-rise in the park
Pelham Parkway,BOSTON ROAD PLAZA,189,1 - High-rise in the park
Pelham Parkway,PELHAM PARKWAY,39,3 - Low-rise in the park
Sack Wern,CLASON POINT GARDENS,11,6 - Walkups & Brownstones
Sack Wern,SACK WERN,280,6 - Walkups & Brownstones
Sedgwick,SEDGWICK,45,1 - High-rise in the park
Sedgwick,WEST TREMONT AVENUE-SEDGWICK AVENUE AREA,246,5 - Context Mid-rises
Sotomayor,1471 WATSON AVENUE,214,6 - Walkups & Brownstones
Sotomayor,GLEBE AVENUE-WESTCHESTER AVENUE,225,6 - Walkups & Brownstones
Sotomayor,SOTOMAYOR HOUSES,67,3 - Low-rise in the park
Soundview,SOUNDVIEW,71,3 - Low-rise in the park
Throggs Neck,RANDALL AVENUE-BALCOM AVENUE,245,3 - Low-rise in the park
Throggs Neck,THROGGS NECK,63,3 - Low-rise in the park
Throggs Neck,THROGGS NECK ADDITION,193,2 - Mid-rise in the park
Union Avenue Consolidated,CLAREMONT PARKWAY-FRANKLIN AVENUE,334,6 - Walkups & Brownstones
Union Avenue Consolidated,DAVIDSON,190,5 - Context Mid-rises
Union Avenue Consolidated,SOUTH BRONX AREA (SITE 402),305,6 - Walkups & Brownstones
Union Avenue Consolidated,STEBBINS AVENUE-HEWITT PLACE,353,6 - Walkups & Brownstones
Union Avenue Consolidated,UNION AVENUE-EAST 163RD STREET,342,2 - Mid-rise in the park
Union Avenue Consolidated,UNION AVENUE-EAST 166TH STREET,356,6 - Walkups & Brownstones
Webster,MORRISANIA,130,1 - High-rise in the park
Webster,WEBSTER,141,1 - High-rise in the park
Albany,ALBANY,31,2 - Mid-rise in the park
Albany,ALBANY II,85,2 - Mid-rise in the park
Borinquen Plaza,BORINQUEN PLAZA I,243,6 - Walkups & Brownstones
Borinquen Plaza,BORINQUEN PLAZA II,271,6 - Walkups & Brownstones
Breukelen,BREUKELEN,56,3 - Low-rise in the park
Brevoort,BREVOORT,65,3 - Low-rise in the park
Carey Gardens,CAREY GARDENS,166,1 - High-rise in the park
Carey Gardens,CONEY ISLAND I (SITE 1B),239,1 - High-rise in the park
Carey Gardens,HABER,142,2 - Mid-rise in the park
Cooper Park,COOPER PARK,69,3 - Low-rise in the park
Cypress Hills,CYPRESS HILLS,70,3 - Low-rise in the park
Cypress Hills,EAST NEW YORK CITY LINE,263,6 - Walkups & Brownstones
Farragut,FARRAGUT,29,2 - Mid-rise in the park
Glenwood,GLENWOOD,44,3 - Low-rise in the park
Gowanus,GOWANUS,25,2 - Mid-rise in the park
Ingersoll,INGERSOLL,14,2 - Mid-rise in the park
Kingsborough,KINGSBOROUGH,10,3 - Low-rise in the park
Kingsborough,KINGSBOROUGH EXTENSION,161,1 - High-rise in the park
Lafayette Gardens,LAFAYETTE,122,1 - High-rise in the park
Marcus Garvey,BROWN,325,6 - Walkups & Brownstones
Marcus Garvey,GARVEY (GROUP A),252,5 - Context Mid-rises
Marcy,MARCY,21,3 - Low-rise in the park
Ocean Hill,OCEAN HILL APARTMENTS,162,2 - Mid-rise in the park
Ocean Hill,SARATOGA VILLAGE,158,1 - High-rise in the park
O'Dwyer Gardens,CONEY ISLAND I (SITE 8),238,2 - Mid-rise in the park
O'Dwyer Gardens,GRAVESEND,68,3 - Low-rise in the park
O'Dwyer Gardens,O'DWYER GARDENS,172,1 - High-rise in the park
Park Rock Consolidation,CROWN HEIGHTS,312,6 - Walkups & Brownstones
Park Rock Consolidation,HOWARD AVENUE,339,6 - Walkups & Brownstones
Park Rock Consolidation,HOWARD AVENUE-PARK PLACE,365,6 - Walkups & Brownstones
Park Rock Consolidation,OCEAN HILL-BROWNSVILLE,313,6 - Walkups & Brownstones
Park Rock Consolidation,PARK ROCK REHAB,351,6 - Walkups & Brownstones
Park Rock Consolidation,STERLING PLACE REHABS (SAINT JOHNS-STERLING),366,6 - Walkups & Brownstones
Park Rock Consolidation,STERLING PLACE REHABS (STERLING-BUFFALO),368,6 - Walkups & Brownstones
Penn-Wortman,PENNSYLVANIA AVENUE-WORTMAN AVENUE,194,1 - High-rise in the park
Penn-Wortman,VANDALIA AVENUE,315,2 - Mid-rise in the park
Pink,PINK,89,2 - Mid-rise in the park
Red Hook East,RED HOOK EAST,4,3 - Low-rise in the park
Red Hook West,RED HOOK WEST,79,3 - Low-rise in the park
Reid Apartments,104-14 TAPSCOTT STREET,242,6 - Walkups & Brownstones
Reid Apartments,FENIMORE-LEFFERTS,205,6 - Walkups & Brownstones
Reid Apartments,LENOX ROAD-ROCKAWAY PARKWAY,348,6 - Walkups & Brownstones
Reid Apartments,RALPH AVENUE REHAB,352,6 - Walkups & Brownstones
Reid Apartments,REID APARTMENTS,167,1 - High-rise in the park
Reid Apartments,RUTLAND TOWERS,282,6 - Walkups & Brownstones
Reid Apartments,SUTTER AVENUE-UNION STREET,369,6 - Walkups & Brownstones
Reid Apartments,TAPSCOTT STREET REHAB,354,6 - Walkups & Brownstones
Roosevelt,ROOSEVELT I,135,1 - High-rise in the park
Roosevelt,ROOSEVELT II,177,1 - High-rise in the park
Sheepshead Bay,NOSTRAND,43,3 - Low-rise in the park
Sheepshead Bay,SHEEPSHEAD BAY,36,3 - Low-rise in the park
Stuyvesant Gardens,STUYVESANT GARDENS I,221,6 - Walkups & Brownstones
Stuyvesant Gardens,STUYVESANT GARDENS II,333,6 - Walkups & Brownstones
Sumner,303 VERNON AVENUE,156,1 - High-rise in the park
Sumner,BEDFORD-STUYVESANT REHAB,311,6 - Walkups & Brownstones
Sumner,SUMNER,73,2 - Mid-rise in the park
Surfside Gardens,CONEY ISLAND,94,2 - Mid-rise in the park
Surfside Gardens,CONEY ISLAND I (SITES 4 & 5),216,4 - Context Towers
Surfside Gardens,SURFSIDE GARDENS,170,1 - High-rise in the park
Tompkins,TOMPKINS,131,1 - High-rise in the park
Whitman,WHITMAN,514,2 - Mid-rise in the park
Williamsburg,WILLIAMSBURG,2,6 - Walkups & Brownstones
Wyckoff Gardens,ATLANTIC TERMINAL SITE 4B,256,1 - High-rise in the park
Wyckoff Gardens,WYCKOFF GARDENS,163,1 - High-rise in the park
Baruch,BARUCH,60,2 - Mid-rise in the park
Baruch,BARUCH HOUSES ADDITION,198,1 - High-rise in the park
Carver,CARVER,58,1 - High-rise in the park
Clinton,CLINTON,123,4 - Context Towers
Douglass,830 AMSTERDAM AVENUE,150,4 - Context Towers
Douglass,DOUGLASS ADDITION,148,4 - Context Towers
Douglass,DOUGLASS I,82,1 - High-rise in the park
Douglass,DOUGLASS II,582,1 - High-rise in the park
Dyckman,DYCKMAN,41,2 - Mid-rise in the park
Fort Washington Ave Rehab,FORT WASHINGTON AVENUE REHAB,309,6 - Walkups & Brownstones
Fort Washington Ave Rehab,WASHINGTON HEIGHTS REHAB (GROUPS 1&2),293,6 - Walkups & Brownstones
Fort Washington Ave Rehab,WASHINGTON HEIGHTS REHAB PHASE III (FORT WASHINGTON),523,6 - Walkups & Brownstones
Fort Washington Ave Rehab,WASHINGTON HEIGHTS REHAB PHASE IV (C),330,6 - Walkups & Brownstones
Fort Washington Ave Rehab,WASHINGTON HEIGHTS REHAB PHASE IV (D),331,6 - Walkups & Brownstones
Fulton,FULTON,136,4 - Context Towers
Gompers,45 ALLEN STREET,265,5 - Context Mid-rises
Gompers,GOMPERS,100,1 - High-rise in the park
Gompers,HERNANDEZ,184,4 - Context Towers
Gompers,LOWER EAST SIDE I INFILL,326,5 - Context Mid-rises
Gompers,MELTZER TOWER,183,1 - High-rise in the park
Gompers,SEWARD PARK EXTENSION,192,4 - Context Towers
Grant,GRANT,87,1 - High-rise in the park
Harlem River,AUDUBON,125,4 - Context Towers
Harlem River,BETHUNE GARDENS,160,1 - High-rise in the park
Harlem River,HARLEM RIVER,3,6 - Walkups & Brownstones
Harlem River,HARLEM RIVER II,147,2 - Mid-rise in the park
Harlem River,MARSHALL PLAZA,344,5 - Context Mid-rises
Harlem River,WASHINGTON HEIGHTS REHAB PHASE III (HARLEM RIVER),329,6 - Walkups & Brownstones
Isaacs,HOLMES TOWERS,159,1 - High-rise in the park
Isaacs,ISAACS,139,4 - Context Towers
Isaacs,ROBBINS PLAZA,218,4 - Context Towers
Jackie Robinson,MORRIS PARK SENIOR CITIZENS HOME,277,5 - Context Mid-rises
Jackie Robinson,"PARK AVENUE-EAST 122ND, 123RD STREETS",204,6 - Walkups & Brownstones
Jackie Robinson,ROBINSON,241,5 - Context Mid-rises
Jackie Robinson,UPACA (SITE 5),343,5 - Context Mid-rises
Jackie Robinson,UPACA (SITE 6),355,5 - Context Mid-rises
Johnson,JOHNSON,17,2 - Mid-rise in the park
King Towers,GRAMPION,281,6 - Walkups & Brownstones
King Towers,KING TOWERS,30,2 - Mid-rise in the park
La Guardia,LA GUARDIA,76,1 - High-rise in the park
La Guardia,LA GUARDIA ADDITION,152,4 - Context Towers
La Guardia,TWO BRIDGES URA (SITE 7),266,4 - Context Towers
Lehman Village,LEHMAN VILLAGE,101,1 - High-rise in the park
Lower East Side,BRACETTI PLAZA,264,6 - Walkups & Brownstones
Lower East Side,CAMPOS PLAZA II,286,4 - Context Towers
Lower East Side,FIRST HOUSES,1,6 - Walkups & Brownstones
Lower East Side,LOWER EAST SIDE II,337,6 - Walkups & Brownstones
Lower East Side,LOWER EAST SIDE REHAB (GROUP 5),292,6 - Walkups & Brownstones
Polo Grounds Towers,POLO GROUNDS TOWERS,149,1 - High-rise in the park
Rangel,RANGEL,37,2 - Mid-rise in the park
Riis,RIIS,18,2 - Mid-rise in the park
Riis,RIIS II,19,2 - Mid-rise in the park
Saint Nicholas,SAINT NICHOLAS,38,2 - Mid-rise in the park
Smith,SMITH,27,1 - High-rise in the park
Taft,131 SAINT NICHOLAS AVENUE,154,1 - High-rise in the park
Taft,TAFT,97,1 - High-rise in the park
Vladeck Combined,VLADECK,6,6 - Walkups & Brownstones
Vladeck Combined,VLADECK II,7,3 - Low-rise in the park
Wald,WALD,23,2 - Mid-rise in the park
Washington,LEXINGTON,50,2 - Mid-rise in the park
Washington,WASHINGTON,62,2 - Mid-rise in the park
Amsterdam,AMSTERDAM,22,2 - Mid-rise in the park
Amsterdam,AMSTERDAM ADDITION,187,4 - Context Towers
Amsterdam,HARBORVIEW TERRACE,262,1 - High-rise in the park
Bay View,BAY VIEW,92,2 - Mid-rise in the park
Boulevard,BELMONT-SUTTER AREA,345,6 - Walkups & Brownstones
Boulevard,BOULEVARD,46,2 - Mid-rise in the park
Bushwick,BUSHWICK,86,1 - High-rise in the park
Bushwick,HYLAN,109,1 - High-rise in the park
Castle Hill,CASTLE HILL,80,1 - High-rise in the park
Chelsea,CHELSEA,134,4 - Context Towers
Chelsea,CHELSEA ADDITION,176,5 - Context Mid-rises
Chelsea,ELLIOTT,15,4 - Context Towers
Drew Hamilton,DREW-HAMILTON,111,4 - Context Towers
Drew Hamilton,PUBLIC SCHOOL 139 (CONVERSION),340,6 - Walkups & Brownstones
Frederick Samuel Apartments,SAMUEL (CITY),377,6 - Walkups & Brownstones
Linden,LINDEN,95,2 - Mid-rise in the park
Manhattanville,MANHATTANVILLE,81,1 - High-rise in the park
Manhattanville,MANHATTANVILLE REHAB (GROUP 2),296,6 - Walkups & Brownstones
Manhattanville,MANHATTANVILLE REHAB (GROUP 3),297,6 - Walkups & Brownstones
Marble Hill,MARBLE HILL,49,1 - High-rise in the park
Marlboro,MARLBORO,83,1 - High-rise in the park
