unique_values,counts
BULKCONTAINEROVRFLWEXTERIORCOMPACTOR,366
EXTCOMPACTOROOOEXTERIORCOMPACTOR,259
HOSEOILLEAKEXTERIORCOMPACTOR,171
COMPACTOROOOCOMPACTOR,165
COMPACTORLEAKINGEXTERIORCOMPACTOR,71
MACHOILLEAKEXTERIORCOMPACTOR,71
HOSEOILLEAKCOMPACTOR,51
RAMNOTMOVINGEXTERIORCOMPACTOR,50
RAMNOTPUSHINGEXTERIORCOMPACTOR,46
FITTINGOILLEAKEXTERIORCOMPACTOR,41
NOPOWEREXTERIORCOMPACTOR,41
LOADERBUCKETNOTMOVINGEXTERIORCOMPACTOR,34
FOLLOWUPEXTERIORCOMPACTOR,33
RAMDAMAGEDEXTERIORCOMPACTOR,32
COMPACTORLEAKINGCOMPACTOR,29
NEEDSCLEANINGCOMPACTOR,27
CONTAINERFRONTROLLEREXTERIORCOMPACTOR,26
MACHOILLEAKCOMPACTOR,24
DOORNOTSECUREDEXTERIORCOMPACTOR,23
RAMNOTPUSHINGCOMPACTOR,22
RAMSLOWEXTERIORCOMPACTOR,20
RETWALLDMLEXTERIORCOMPACTOR,19
KEYSWITCHOOOEXTERIORCOMPACTOR,18
RAMNOTMOVINGCOMPACTOR,17
RAMSLOWCOMPACTOR,15
NEEDSPAINTINGEXTERIORCOMPACTOR,15
NOAUTOEXTERIORCOMPACTOR,15
RAMLIMITSWITCHOOOCOMPACTOR,14
SAFETYDEVICESOOOEXTERIORCOMPACTOR,12
NOISYCOMPACTOR,11
FITTINGOILLEAKCOMPACTOR,10
NOPOWERCOMPACTOR,9
DRSAFTEYSWITCHOOOCOMPACTOR,7
RDRLOCKOOOEXTERIORCOMPACTOR,7
NEEDSCLEANINGEXTERIORCOMPACTOR,5
EMRGSTOPSWITCHOOOEXTERIORCOMPACTOR,5
NOISYEXTERIORCOMPACTOR,5
NEEDSPAINTINGPAINT,5
FULLBAGSWITCHOOOCOMPACTOR,5
RDRRATCHETBINDEROOOEXTERIORCOMPACTOR,4
NOAUTOCOMPACTOR,4
NEEDSOILCHANGECOMPACTOR,4
NEEDSDEODERANTCOMPACTOR,4
EXPOSEDWIRESEXTERIORCOMPACTOR,4
DEODORSYSOOOCOMPACTOR,4
LIGHTSOOOEXTERIORCOMPACTOR,4
SIGNSDMLEXTERIORCOMPACTOR,3
LOADERBUCKETCYLLEAKEXTERIORCOMPACTOR,3
SWITCHCOVERDMLELECTRICALSWITCH,3
RDRSAFTEYCHAINEXTERIORCOMPACTOR,3
CHUTECUTOFFGATEOOOCOMPACTOR,3
DIFFUSERDMLEXTERIORCOMPACTOR,2
EMRGSTOPSWITCHOOOCOMPACTOR,2
BULKCONTAINERDIRTYEXTERIORCOMPACTOR,2
CHUTECUTOFFGATESTUCKCOMPACTOR,2
LIGHTSDMLEXTERIORCOMPACTOR,2
GRAFFITIEXTERIORCOMPACTOR,2
FULLLIGHTOOOEXTERIORCOMPACTOR,2
RWCOPSTONEDMLEXTERIORCOMPACTOR,2
OILCHANGEEXTERIORCOMPACTOR,2
DOORDMLDOORPUBLICSPACE,1
BULBDMLLIGHT,1
IONIZEROOOEXTERIORCOMPACTOR,1
STOPPAGEDRAINS,1
FOLLOWUPCOMPACTOR,1
FLOODINGLEAKFROMABOVE,1
NEEDSPAINTINGCOMPACTOR,1
PHASTRASHBCTRASHBULKCOMPOUND,1
COMPACTORCHUTECOMPACTOR,1
NEEDSCLEANINGCEILING,1
