GEOGRAPHICAL_BOROUGH_NAME,NEW_BOROUGH_GROUPING,RAM,CONSOLIDATED_NAME,CONSOLIDATED_TDS_NUM,DEVELOPMENT_NAME,TDS_NUM,ADDRESS_LINE_1,BUILDING_NUM,LOCATION,LOCATION_TYPE,OWNERGROUP,SOURCESYSID,CALL_CENTER_TYPE,PARENT,WONUM,TRADE_TYPE,CRAFT_DESCRIPTION,FAILURECODE,PROBLEMCODE,WOPRIORITY,REPORTDATE,ZZCREATEDATE,SCHEDSTART,TARGSTARTDATE,ACTSTART,ACTFINISH,STATUS,STATUSDATE,DISPOSITION_DESC,DISPOSITION_SUB_DESC,WORK_DONE_DESC,ZZSUBWORKTYPE,CAUSE,REMEDY,ZZRESCODE,LAST_LABTRANS_TRANSTYPE,TOTAL_REPAIRS_DONE,REPAIRS_DONE_LIST,VANDALISM_CODE,ZZCOURTORDER,ZZRRPWORKREQUIRED,ZZRRPWORKAMOUNT,DESCRIPTION,Days to Complete Or Still Open,TDS,BUILDING,STAIRHALL,ROOM,PROBLEMANDFAILURE,CATEGORY
Brooklyn,Brooklyn,MAYNARD,Williamsburg,2,WILLIAMSBURG,2,219 TEN EYCK WALK,16,002.16.GND01,GROUNDS,DEV002,SIEBEL,CCC,67708837,67708837,MAINTENANCE,Maintenance,COMPACTOR,NOISY,3,2019-07-11,2019-07-11,,,2019-07-18,2019-07-18,CLOSE,2019-07-18,CLOSED,Condition not Founded,Work Not Done,,,,,UNFOUNDED,,,0,0,,,COMPACTOR - MAINT,6.779699,2,16,,Unknown - Originally entered as GND01,NOISYCOMPACTOR,INTCOMPACTOR
Manhattan,Manhattan,SUGGS,Harlem River,3,HARLEM RIVER,3,231 WEST 151ST STREET,GN,003.GND01,GROUNDS,TSDWASTE,MAXIMO,Non-CCC,72867943,72867943,MAINTENANCE,Maintenance,COMPACTOR,COMPACTOROOO,3,2020-03-07,2020-03-07,,,2020-03-09,2020-03-09,CLOSE,2020-03-09,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1,HYDROLICFLUIDREPLACED,0,0,,,exterior compactor,1.889479,3,,,GND01,COMPACTOROOOCOMPACTOR,EXTCOMPACTOR
Manhattan,Manhattan,SUGGS,Harlem River,3,HARLEM RIVER,3,210Q WEST 153RD STREET,1,003.01.GND01,GROUNDS,DEV003,SIEBEL,CCC,66031837,66031837,MAINTENANCE,Maintenance,COMPACTOR,NOISY,3,2019-03-27,2019-03-27,,,2019-04-02,2019-04-02,CLOSE,2019-04-02,CLOSED,Condition not Founded,Work Not Done,,,,,UNFOUNDED,,,0,0,,,COMPACTOR - MAINT,6.263889,3,1,,GND01,NOISYCOMPACTOR,EXTCOMPACTOR
Queens,Queens-Staten Island,CORIOLAN,Queensbridge South,5,QUEENSBRIDGE SOUTH,5,41-10 VERNON BOULEVARD,25,005.25.GND01,GROUNDS,DEV005,MAXIMO,Non-CCC,65740409,65740409,SKILLED TRADES,Vendor,COMPACTOR,NEEDSCLEANING,3,2019-02-28,2019-02-28,,,2019-03-13,2019-03-13,CLOSE,2019-03-13,CLOSED,Condition not Founded,Work Not Done,,,,,UNFOUNDED,,,0,0,N,,Generic Vendor Work Plan,12.955637,5,25,,GND01,NEEDSCLEANINGCOMPACTOR,EXTCOMPACTOR
Queens,Queens-Staten Island,CORIOLAN,Queensbridge South,5,QUEENSBRIDGE SOUTH,5,41-10 VERNON BOULEVARD,25,005.25.GND01,GROUNDS,DEV005,MAXIMO,Non-CCC,65772949,65772949,SKILLED TRADES,Vendor,COMPACTOR,COMPACTOROOO,3,2019-03-04,2019-03-04,,,2019-05-29,2019-05-29,CLOSE,2019-05-30,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,2,COPINGSTONEREPAIRED;COPINGSTONEREPLACED,0,0,N,,EZ PAK #1 AND #2 NEED IMMEDIATE REPAIRS,85.80956,5,25,,GND01,COMPACTOROOOCOMPACTOR,EXTCOMPACTOR
Queens,Queens-Staten Island,CORIOLAN,Queensbridge South,5,QUEENSBRIDGE SOUTH,5,41-15 VERNON BOULEVARD,26,005.26.GND01,GROUNDS,TSDWASTE,MAXIMO,Non-CCC,66768743,66768743,MAINTENANCE,Maintenance,COMPACTOR,HOSEOILLEAK,3,2019-05-10,2019-05-10,,,2019-05-11,2019-05-11,CLOSE,2019-05-13,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1,HYDROLICHOSEREPLACED,0,0,,,COMPACTOR - MAINT,1.018889,5,26,,GND01,HOSEOILLEAKCOMPACTOR,EXTCOMPACTOR
Queens,Queens-Staten Island,CORIOLAN,Queensbridge South,5,QUEENSBRIDGE SOUTH,5,41-10 VERNON BOULEVARD,25,005.25.GND01,GROUNDS,DEV005,MAXIMO,Non-CCC,73056330,73056330,SKILLED TRADES,Vendor,COMPACTOR,COMPACTOROOO,3,2020-03-25,2020-03-25,,,2020-03-30,2020-03-30,CLOSE,2020-03-31,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1,HYDROLICCYLINDERREPAIRED,0,0,N,,Generic Vendor Work Plan,4.940324,5,25,,GND01,COMPACTOROOOCOMPACTOR,EXTCOMPACTOR
Queens,Queens-Staten Island,CORIOLAN,Queensbridge South,5,QUEENSBRIDGE SOUTH,5,41-10 VERNON BOULEVARD,25,005.25.GND01,GROUNDS,DEV005,MAXIMO,Non-CCC,66464628,66464628,MAINTENANCE,Maintenance,COMPACTOR,HOSEOILLEAK,3,2019-04-16,2019-04-16,2019-04-29,2019-04-29,2019-04-29,2019-04-29,CLOSE,2019-04-29,CLOSED,Condition not Founded,Work Not Done,,,,,UNFOUNDED,,,0,0,,,EZ PAK #3-OUTSIDE HYDRAULIC HOSE-,12.802222,5,25,,GND01,HOSEOILLEAKCOMPACTOR,EXTCOMPACTOR
Queens,Queens-Staten Island,CORIOLAN,Queensbridge South,5,QUEENSBRIDGE SOUTH,5,41-08 10TH STREET,16,005.16.GND01,GROUNDS,DEV005,SIEBEL,CCC,72927547,72927547,SKILLED TRADES,Supv of Caretakers,COMPACTOR,NEEDSCLEANING,3,2020-03-12,2020-03-12,,,2020-03-13,2020-03-13,CLOSE,2020-03-31,CLOSED,Completed on Arrival,Work Not Done,,,,,COMPLETEONARRIVAL,,,0,0,,,COMPACTOR - SOHC,1.093264,5,16,,GND01,NEEDSCLEANINGCOMPACTOR,EXTCOMPACTOR
Queens,Queens-Staten Island,DREW,South Jamaica,8,SOUTH JAMAICA I,8,106-44 159TH STREET,2,008.02.GND01,GROUNDS,TSDWASTE,MAXIMO,Non-CCC,72398623,72398623,MAINTENANCE,Maintenance,COMPACTOR,COMPACTOROOO,3,2020-02-05,2020-02-05,,,2020-02-10,2020-02-10,CLOSE,2020-02-11,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1,BRICKSPOINTED,0,0,,,COMPACTOR - MAINT,4.844641,8,2,,GND01,COMPACTOROOOCOMPACTOR,EXTCOMPACTOR
