GEOGRAPHICAL_BOROUGH_NAME,NEW_BOROUGH_GROUPING,RAM,CONSOLIDATED_NAME,CONSOLIDATED_TDS_NUM,DEVELOPMENT_NAME,TDS_NUM,ADDRESS_LINE_1,BUILDING_NUM,LOCATION,LOCATION_TYPE,OWNERGROUP,SOURCESYSID,CALL_CENTER_TYPE,PARENT,WONUM,TRADE_TYPE,CRAFT_DESCRIPTION,FAILURECODE,PROBLEMCODE,WOPRIORITY,REPORTDATE,ZZCREATEDATE,SCHEDSTART,TARGSTARTDATE,ACTSTART,ACTFINISH,STATUS,STATUSDATE,DISPOSITION_DESC,DISPOSITION_SUB_DESC,WORK_DONE_DESC,ZZSUBWORKTYPE,CAUSE,REMEDY,ZZRESCODE,LAST_LABTRANS_TRANSTYPE,TOTAL_REPAIRS_DONE,REPAIRS_DONE_LIST,VANDALISM_CODE,ZZCOURTORDER,ZZRRPWORKREQUIRED,ZZRRPWORKAMOUNT,DESCRIPTION,Days to Complete Or Still Open,TDS,BUILDING,STAIRHALL,ROOM
Manhattan,Manhattan,MOLINA,Washington,62,WASHINGTON,62,1761 3RD AVENUE,,062,DEVELOPMENT,MNELEC,MAXIMO,Non-CCC,71552654,71552654,SKILLED TRADES,Electrician,EXTERIORCOMPACTOR,NOPOWER,3,2019-12-12,2019-12-12,,,2019-12-13,2019-12-13,CLOSE,2019-12-13,CLOSED,Closed,Work Done,BUILDING,ACCIDENTALDAMAGE,REMEDY,,WORK,3.0,KEYSWITCHREPAIRED;SHORTREPAIRED;KEYSWITCHREPLACED,0,0,,,EXTERIOR COMPACTOR - ELECTRCN,1.015741,062,,,
Brooklyn,Brooklyn,IEZZA,Glenwood,44,GLENWOOD,44,5907 GLENWOOD ROAD,16,044.16,BUILDING,TSDWASTE,MAXIMO,Non-CCC,72181543,72181543,MAINTENANCE,Maintenance,EXTERIORCOMPACTOR,SAFETYDEVICESOOO,3,2020-01-22,2020-01-22,,,2020-01-27,2020-01-27,CLOSE,2020-01-28,CLOSED,No Work Done with Sequence,Work Not Done,GROUNDS,,,,NOWORKDONEWITHSEQ,,,0,0,,,EXTERIOR COMPACTOR - MAINT,4.847222,044,16,,
Bronx,Bronx,BETHEA,Eastchester Gardens,34,EASTCHESTER GARDENS,34,1255 ADEE AVENUE,07,034.07,BUILDING,TSDWASTE,MAXIMO,Non-CCC,71912704,71912704,MAINTENANCE,Maintenance,EXTERIORCOMPACTOR,LOADERBUCKETNOTMOVING,3,2020-01-02,2020-01-02,,,2020-01-06,2020-01-06,CLOSE,2020-01-07,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,COMPACTORREPAIRED,0,0,,,broken bolt-bucket not going up,4.431088,034,07,,
Staten Island,Queens-Staten Island,FALU,South Beach,35,SOUTH BEACH,35,160 LAMPORT BOULEVARD,,035,DEVELOPMENT,DEV035,MAXIMO,Non-CCC,72136958,72136958,SKILLED TRADES,Vendor,COMPACTOR,NEEDSCLEANING,3,2020-01-18,2020-01-18,,,2020-03-19,2020-03-19,CLOSE,2020-03-30,CLOSED,Closed,Work Done,,FINISHWORK,REMEDY,,WORK,1.0,STOPPAGECLEARED,0,0,N,,"Cleaning & Sanitizing compactor chutes, hopper & compactor doors throughout building.",61.234109,035,,,
Brooklyn,Brooklyn,HALL,Gowanus,25,GOWANUS,25,426 BALTIC STREET,09,025.09,BUILDING,DEV025,MAXIMO,Non-CCC,68015828,68029691,SKILLED TRADES,Supv of Caretakers,COMPACTOR,NEEDSCLEANING,3,2019-08-01,2019-08-01,,,2019-08-02,2019-08-02,CLOSE,2019-08-23,CLOSED,Condition not Founded,Work Not Done,,,,,UNFOUNDED,,,0,0,,,Are interior compactors in good working order?,0.7747689999999999,025,09,,
Queens,Queens-Staten Island,CORIOLAN,Queensbridge South,5,QUEENSBRIDGE SOUTH,5,41-01 12TH STREET,05,005.05,BUILDING,TSDWASTE,MAXIMO,Non-CCC,69037361,69037361,MAINTENANCE,Maintenance,COMPACTOR,COMPACTOROOO,3,2019-09-16,2019-09-16,2019-09-24,2019-09-24,2019-09-24,2019-09-24,CLOSE,2019-09-24,CLOSED,Previously Corrected,Work Not Done,,,,,PREV CORRECTED,,,0,0,,,compactor not running Automatic,7.867719999999999,005,05,,
Brooklyn,Mixed Finance,DINGLE,Bushwick,86,BUSHWICK,86,869 FLUSHING AVENUE,04,086.04,BUILDING,DEV086,MAXIMO,Non-CCC,68014795,68414197,MAINTENANCE,Maintenance,COMPACTOR,FOLLOWUP,6,2019-08-22,2019-08-22,,,2019-08-22,2019-08-22,CLOSE,2019-08-22,CLOSED,No Work Done with Sequence,Work Not Done,,,,,NOWORKDONEWITHSEQ,,,0,0,,,Are compactor rooms clean and in good condition?,0.022106,086,04,,
Bronx,Private Mgmt,WILLIAMS,Building Management Associates (BX 1),530,HOE AVENUE-EAST 173RD STREET,215,1700 HOE AVENUE,01,215.01,BUILDING,DEV530,MAXIMO,Non-CCC,66450503,66450503,MAINTENANCE,Maintenance,EXTERIORCOMPACTOR,RETWALLDML,3,2019-04-15,2019-04-14,,,2019-04-14,2019-04-14,CLOSE,2019-04-15,CLOSED,Closed,Work Done,BUILDING,NORMALWEAR,REMEDY,,WORK,1.0,CEMENTREPAIRED,0,0,,,EXTERIORCOMPACTOR - MAINT,0.25,215,01,,
Brooklyn,Mixed Finance,HIPPS,Marlboro,83,MARLBORO,83,127 AVENUE X,26,083.26,BUILDING,DEV083,MAXIMO,Non-CCC,68594833,69026204,SKILLED TRADES,Supv of Caretakers,COMPACTOR,NEEDSCLEANING,3,2019-09-15,2019-09-15,,,2019-09-15,2019-09-15,CLOSE,2019-09-18,CLOSED,Closed,Work Done,,FINISHWORK,REMEDY,,WORK,2.0,MACHINECLEANED;MACHINEUNJAMMED,0,0,,,Are interior compactors in good working order?,0.11318299999999999,083,26,,
Bronx,NGO1,MCMILLAN,Mitchel,145,MITCHEL,145,360 EAST 137TH STREET,07,145.07,BUILDING,TSDWASTE,MAXIMO,Non-CCC,69491049,69491049,MAINTENANCE,Maintenance,COMPACTOR,RAMLIMITSWITCHOOO,3,2019-10-14,2019-10-14,,,2019-10-21,2019-10-21,CLOSE,2019-10-22,CLOSED,Closed,Work Done,,NORMALWEAR,REMEDY,,WORK,1.0,ELECTRICITYRESTORED,0,0,,,COMPACTOR - MAINT,6.951678,145,07,,
